job,marital,education,age,balance,homeowner,loans,ln_default,day,contact,month,duration,campaign,pdays,previous,poutcome,RESP
technician,married,secondary,30,152,1.0,1.0,0.0,5,unknown,may,213,2,-1,0,unknown,0
admin.,married,secondary,60,290,1.0,0.0,0.0,5,unknown,may,583,1,-1,0,unknown,0
blue-collar,married,unknown,60,54,1.0,0.0,0.0,5,unknown,may,221,1,-1,0,unknown,0
entrepreneur,divorced,secondary,57,-37,0.0,0.0,0.0,5,unknown,may,173,1,-1,0,unknown,0
management,married,tertiary,36,101,1.0,1.0,0.0,5,unknown,may,426,1,-1,0,unknown,0
blue-collar,married,secondary,55,383,0.0,0.0,0.0,5,unknown,may,287,1,-1,0,unknown,0
retired,married,tertiary,60,81,1.0,0.0,0.0,5,unknown,may,101,1,-1,0,unknown,0
technician,married,secondary,39,0,1.0,0.0,0.0,5,unknown,may,203,1,-1,0,unknown,0
management,married,tertiary,46,229,1.0,0.0,0.0,5,unknown,may,197,1,-1,0,unknown,0
blue-collar,married,secondary,44,-674,1.0,0.0,0.0,5,unknown,may,257,1,-1,0,unknown,0
blue-collar,married,primary,53,90,0.0,0.0,0.0,5,unknown,may,124,1,-1,0,unknown,0
blue-collar,married,primary,52,128,1.0,0.0,0.0,5,unknown,may,229,1,-1,0,unknown,0
blue-collar,married,primary,59,179,1.0,0.0,0.0,5,unknown,may,55,3,-1,0,unknown,0
technician,single,tertiary,27,0,1.0,0.0,0.0,5,unknown,may,400,1,-1,0,unknown,0
blue-collar,married,secondary,44,54,1.0,0.0,0.0,5,unknown,may,197,1,-1,0,unknown,0
technician,married,tertiary,47,151,1.0,0.0,0.0,5,unknown,may,190,1,-1,0,unknown,0
admin.,married,secondary,34,61,0.0,1.0,0.0,5,unknown,may,21,1,-1,0,unknown,0
retired,single,secondary,59,30,1.0,0.0,0.0,5,unknown,may,514,1,-1,0,unknown,0
management,married,tertiary,45,523,1.0,0.0,0.0,5,unknown,may,849,2,-1,0,unknown,0
services,divorced,secondary,29,31,1.0,0.0,0.0,5,unknown,may,194,1,-1,0,unknown,0
technician,divorced,secondary,46,79,0.0,0.0,0.0,5,unknown,may,144,1,-1,0,unknown,0
self-employed,married,primary,56,-34,1.0,1.0,0.0,5,unknown,may,212,2,-1,0,unknown,0
blue-collar,married,primary,36,448,1.0,0.0,0.0,5,unknown,may,286,1,-1,0,unknown,0
retired,divorced,primary,59,81,1.0,0.0,0.0,5,unknown,may,107,1,-1,0,unknown,0
blue-collar,married,secondary,44,144,1.0,0.0,0.0,5,unknown,may,247,2,-1,0,unknown,0
admin.,married,secondary,41,351,1.0,0.0,0.0,5,unknown,may,518,1,-1,0,unknown,0
management,single,tertiary,33,-67,1.0,0.0,0.0,5,unknown,may,364,1,-1,0,unknown,0
management,divorced,tertiary,59,262,0.0,0.0,0.0,5,unknown,may,178,1,-1,0,unknown,0
technician,married,primary,57,0,0.0,0.0,0.0,5,unknown,may,98,1,-1,0,unknown,0
technician,divorced,unknown,56,56,1.0,0.0,0.0,5,unknown,may,439,1,-1,0,unknown,0
blue-collar,married,secondary,51,26,1.0,0.0,0.0,5,unknown,may,79,1,-1,0,unknown,0
admin.,married,unknown,34,3,1.0,0.0,0.0,5,unknown,may,120,3,-1,0,unknown,0
services,married,secondary,43,41,1.0,1.0,0.0,5,unknown,may,127,2,-1,0,unknown,0
technician,married,tertiary,52,7,0.0,1.0,0.0,5,unknown,may,175,1,-1,0,unknown,0
technician,single,secondary,33,105,1.0,0.0,0.0,5,unknown,may,262,2,-1,0,unknown,0
admin.,single,secondary,29,818,1.0,1.0,0.0,5,unknown,may,61,1,-1,0,unknown,0
services,married,secondary,34,-16,1.0,1.0,0.0,5,unknown,may,78,1,-1,0,unknown,0
blue-collar,married,secondary,31,0,1.0,0.0,0.0,5,unknown,may,143,1,-1,0,unknown,0
services,married,secondary,55,2476,1.0,0.0,0.0,5,unknown,may,579,1,-1,0,unknown,1
management,married,unknown,55,1185,0.0,0.0,0.0,5,unknown,may,677,1,-1,0,unknown,0
admin.,single,secondary,32,217,1.0,0.0,0.0,5,unknown,may,345,1,-1,0,unknown,0
technician,single,secondary,38,1685,1.0,0.0,0.0,5,unknown,may,185,1,-1,0,unknown,0
admin.,single,secondary,55,802,1.0,1.0,0.0,5,unknown,may,100,2,-1,0,unknown,0
unemployed,single,tertiary,28,0,1.0,0.0,0.0,5,unknown,may,125,2,-1,0,unknown,0
blue-collar,married,secondary,23,94,1.0,0.0,0.0,5,unknown,may,193,1,-1,0,unknown,0
technician,single,secondary,32,0,1.0,0.0,0.0,5,unknown,may,136,1,-1,0,unknown,0
services,single,unknown,43,0,0.0,0.0,0.0,5,unknown,may,73,1,-1,0,unknown,0
blue-collar,married,secondary,32,517,1.0,0.0,0.0,5,unknown,may,528,1,-1,0,unknown,0
blue-collar,married,secondary,46,265,1.0,0.0,0.0,5,unknown,may,541,1,-1,0,unknown,0
housemaid,divorced,primary,53,947,1.0,0.0,0.0,5,unknown,may,163,1,-1,0,unknown,0
self-employed,single,secondary,34,3,1.0,0.0,0.0,5,unknown,may,301,1,-1,0,unknown,0
unemployed,married,tertiary,57,42,0.0,0.0,0.0,5,unknown,may,46,1,-1,0,unknown,0
blue-collar,married,secondary,37,37,1.0,0.0,0.0,5,unknown,may,204,1,-1,0,unknown,0
blue-collar,married,secondary,59,57,1.0,0.0,0.0,5,unknown,may,98,1,-1,0,unknown,0
services,married,secondary,33,22,1.0,0.0,0.0,5,unknown,may,71,1,-1,0,unknown,0
blue-collar,divorced,primary,56,8,1.0,0.0,0.0,5,unknown,may,157,2,-1,0,unknown,0
unemployed,married,secondary,48,293,1.0,0.0,0.0,5,unknown,may,243,1,-1,0,unknown,0
services,married,primary,43,3,1.0,0.0,0.0,5,unknown,may,186,2,-1,0,unknown,0
blue-collar,married,primary,54,348,1.0,0.0,0.0,5,unknown,may,579,2,-1,0,unknown,0
blue-collar,married,unknown,51,-19,1.0,0.0,0.0,5,unknown,may,163,2,-1,0,unknown,0
student,single,secondary,26,0,1.0,0.0,0.0,5,unknown,may,610,2,-1,0,unknown,0
management,married,tertiary,40,-4,1.0,0.0,0.0,5,unknown,may,2033,1,-1,0,unknown,0
management,married,secondary,39,18,1.0,0.0,0.0,5,unknown,may,85,1,-1,0,unknown,0
technician,married,primary,50,139,0.0,0.0,0.0,5,unknown,may,114,2,-1,0,unknown,0
services,married,secondary,41,0,1.0,0.0,0.0,5,unknown,may,114,2,-1,0,unknown,0
blue-collar,married,unknown,51,1883,1.0,0.0,0.0,5,unknown,may,57,1,-1,0,unknown,0
retired,divorced,secondary,60,216,1.0,0.0,0.0,5,unknown,may,238,1,-1,0,unknown,0
blue-collar,married,secondary,52,782,1.0,0.0,0.0,5,unknown,may,93,3,-1,0,unknown,0
blue-collar,married,secondary,48,904,1.0,0.0,0.0,5,unknown,may,128,2,-1,0,unknown,0
services,married,unknown,48,1705,1.0,0.0,0.0,5,unknown,may,107,1,-1,0,unknown,0
technician,single,tertiary,39,47,1.0,0.0,0.0,5,unknown,may,181,1,-1,0,unknown,0
services,single,secondary,47,176,1.0,0.0,0.0,5,unknown,may,303,2,-1,0,unknown,0
blue-collar,married,secondary,40,1225,1.0,0.0,0.0,5,unknown,may,558,5,-1,0,unknown,0
technician,married,secondary,45,86,1.0,0.0,0.0,5,unknown,may,270,1,-1,0,unknown,0
admin.,single,secondary,26,82,1.0,0.0,0.0,5,unknown,may,228,1,-1,0,unknown,0
management,married,tertiary,52,271,1.0,0.0,0.0,5,unknown,may,99,1,-1,0,unknown,0
technician,married,secondary,54,1378,1.0,0.0,0.0,5,unknown,may,240,1,-1,0,unknown,0
admin.,married,tertiary,54,184,0.0,0.0,0.0,5,unknown,may,673,2,-1,0,unknown,1
blue-collar,married,primary,50,0,0.0,0.0,0.0,5,unknown,may,233,3,-1,0,unknown,0
blue-collar,married,secondary,35,0,1.0,0.0,0.0,5,unknown,may,1056,1,-1,0,unknown,0
services,married,secondary,44,1357,1.0,1.0,0.0,5,unknown,may,250,1,-1,0,unknown,0
entrepreneur,married,unknown,53,19,1.0,0.0,0.0,5,unknown,may,252,1,-1,0,unknown,0
retired,single,primary,35,434,0.0,0.0,0.0,5,unknown,may,138,1,-1,0,unknown,0
admin.,divorced,secondary,60,92,1.0,0.0,0.0,5,unknown,may,130,1,-1,0,unknown,0
admin.,divorced,secondary,53,1151,1.0,0.0,0.0,5,unknown,may,412,1,-1,0,unknown,0
unemployed,married,secondary,48,41,1.0,0.0,0.0,5,unknown,may,179,2,-1,0,unknown,0
technician,married,secondary,34,51,1.0,0.0,0.0,5,unknown,may,19,2,-1,0,unknown,0
services,married,secondary,54,214,1.0,0.0,0.0,5,unknown,may,458,2,-1,0,unknown,0
management,married,secondary,51,1161,1.0,0.0,0.0,5,unknown,may,717,1,-1,0,unknown,0
services,married,tertiary,31,37,1.0,0.0,0.0,5,unknown,may,313,1,-1,0,unknown,0
technician,divorced,secondary,35,787,1.0,0.0,0.0,5,unknown,may,683,2,-1,0,unknown,0
services,married,secondary,35,59,1.0,0.0,0.0,5,unknown,may,1077,1,-1,0,unknown,0
technician,married,secondary,38,253,1.0,0.0,0.0,5,unknown,may,416,1,-1,0,unknown,0
admin.,married,tertiary,36,211,1.0,0.0,0.0,5,unknown,may,146,2,-1,0,unknown,0
retired,married,primary,58,235,1.0,0.0,0.0,5,unknown,may,167,1,-1,0,unknown,0
services,divorced,unknown,40,4384,1.0,0.0,0.0,5,unknown,may,315,1,-1,0,unknown,0
management,married,secondary,54,4080,0.0,0.0,0.0,5,unknown,may,140,1,-1,0,unknown,0
blue-collar,single,secondary,34,53,1.0,1.0,0.0,5,unknown,may,346,1,-1,0,unknown,0
management,single,tertiary,31,0,1.0,0.0,0.0,5,unknown,may,562,1,-1,0,unknown,0
retired,married,secondary,51,2127,1.0,0.0,0.0,5,unknown,may,172,1,-1,0,unknown,0
management,married,tertiary,33,377,1.0,0.0,0.0,5,unknown,may,217,1,-1,0,unknown,0
management,married,tertiary,55,73,1.0,0.0,0.0,5,unknown,may,142,2,-1,0,unknown,0
admin.,married,secondary,42,445,1.0,0.0,0.0,5,unknown,may,67,1,-1,0,unknown,0
blue-collar,married,secondary,34,243,1.0,0.0,0.0,5,unknown,may,291,1,-1,0,unknown,0
blue-collar,single,secondary,33,307,1.0,0.0,0.0,5,unknown,may,309,2,-1,0,unknown,0
services,married,secondary,38,155,1.0,0.0,0.0,5,unknown,may,248,1,-1,0,unknown,0
technician,divorced,tertiary,50,173,0.0,1.0,0.0,5,unknown,may,98,1,-1,0,unknown,0
management,married,tertiary,43,400,1.0,0.0,0.0,5,unknown,may,256,1,-1,0,unknown,0
blue-collar,divorced,primary,61,1428,1.0,0.0,0.0,5,unknown,may,82,2,-1,0,unknown,0
admin.,married,secondary,47,219,1.0,0.0,0.0,5,unknown,may,577,1,-1,0,unknown,0
self-employed,married,tertiary,48,7,1.0,0.0,0.0,5,unknown,may,286,1,-1,0,unknown,0
blue-collar,married,secondary,44,575,1.0,0.0,0.0,5,unknown,may,477,1,-1,0,unknown,0
student,single,unknown,35,298,1.0,0.0,0.0,5,unknown,may,611,2,-1,0,unknown,0
services,married,secondary,35,0,1.0,0.0,0.0,5,unknown,may,471,1,-1,0,unknown,0
services,married,secondary,50,5699,1.0,0.0,0.0,5,unknown,may,381,2,-1,0,unknown,0
management,married,tertiary,41,176,1.0,1.0,0.0,5,unknown,may,42,1,-1,0,unknown,0
management,married,tertiary,41,517,1.0,0.0,0.0,5,unknown,may,251,1,-1,0,unknown,0
services,single,unknown,39,257,1.0,0.0,0.0,5,unknown,may,408,1,-1,0,unknown,0
retired,married,secondary,42,56,1.0,0.0,0.0,5,unknown,may,215,1,-1,0,unknown,0
blue-collar,married,secondary,38,-390,1.0,0.0,0.0,5,unknown,may,287,1,-1,0,unknown,0
retired,married,secondary,53,330,1.0,0.0,0.0,5,unknown,may,216,2,-1,0,unknown,0
housemaid,divorced,primary,59,195,0.0,0.0,0.0,5,unknown,may,366,2,-1,0,unknown,0
services,married,secondary,36,301,1.0,0.0,0.0,5,unknown,may,210,1,-1,0,unknown,0
blue-collar,married,primary,54,-41,1.0,0.0,0.0,5,unknown,may,288,1,-1,0,unknown,0
technician,married,tertiary,40,483,1.0,0.0,0.0,5,unknown,may,168,1,-1,0,unknown,0
unknown,married,unknown,47,28,0.0,0.0,0.0,5,unknown,may,338,2,-1,0,unknown,0
unemployed,married,unknown,53,13,0.0,0.0,0.0,5,unknown,may,410,3,-1,0,unknown,0
housemaid,married,primary,46,965,0.0,0.0,0.0,5,unknown,may,177,1,-1,0,unknown,0
management,married,tertiary,39,378,1.0,1.0,0.0,5,unknown,may,127,2,-1,0,unknown,0
unemployed,married,secondary,40,219,1.0,0.0,0.0,5,unknown,may,357,1,-1,0,unknown,0
blue-collar,married,primary,28,324,1.0,0.0,0.0,5,unknown,may,175,1,-1,0,unknown,0
entrepreneur,divorced,secondary,35,-69,1.0,0.0,0.0,5,unknown,may,300,1,-1,0,unknown,0
retired,married,secondary,55,0,0.0,1.0,0.0,5,unknown,may,136,1,-1,0,unknown,0
technician,divorced,unknown,43,205,1.0,0.0,0.0,5,unknown,may,1419,1,-1,0,unknown,0
blue-collar,married,primary,48,278,1.0,0.0,0.0,5,unknown,may,125,2,-1,0,unknown,0
management,married,unknown,58,1065,1.0,0.0,0.0,5,unknown,may,213,3,-1,0,unknown,0
management,single,tertiary,33,34,1.0,0.0,0.0,5,unknown,may,27,1,-1,0,unknown,0
blue-collar,married,unknown,36,1033,0.0,0.0,0.0,5,unknown,may,238,2,-1,0,unknown,0
services,divorced,secondary,53,1467,1.0,0.0,0.0,5,unknown,may,124,1,-1,0,unknown,0
blue-collar,married,primary,47,-12,1.0,0.0,0.0,5,unknown,may,18,1,-1,0,unknown,0
services,married,secondary,31,388,1.0,0.0,0.0,5,unknown,may,730,2,-1,0,unknown,0
entrepreneur,married,secondary,57,294,1.0,0.0,0.0,5,unknown,may,746,2,-1,0,unknown,0
blue-collar,married,unknown,53,1827,0.0,0.0,0.0,5,unknown,may,121,1,-1,0,unknown,0
blue-collar,married,primary,55,627,1.0,0.0,0.0,5,unknown,may,247,1,-1,0,unknown,0
blue-collar,married,primary,45,25,1.0,0.0,0.0,5,unknown,may,40,1,-1,0,unknown,0
admin.,divorced,secondary,53,315,1.0,0.0,0.0,5,unknown,may,181,2,-1,0,unknown,0
blue-collar,married,primary,37,0,1.0,0.0,0.0,5,unknown,may,79,1,-1,0,unknown,0
admin.,divorced,secondary,44,66,1.0,0.0,0.0,5,unknown,may,206,1,-1,0,unknown,0
blue-collar,divorced,primary,49,-9,1.0,1.0,0.0,5,unknown,may,389,1,-1,0,unknown,0
technician,married,secondary,46,349,1.0,1.0,0.0,5,unknown,may,127,1,-1,0,unknown,0
entrepreneur,married,unknown,43,100,1.0,0.0,0.0,5,unknown,may,702,1,-1,0,unknown,0
admin.,married,secondary,38,0,0.0,0.0,0.0,5,unknown,may,151,1,-1,0,unknown,0
technician,married,secondary,43,434,1.0,0.0,0.0,5,unknown,may,117,1,-1,0,unknown,0
management,married,tertiary,49,3237,1.0,0.0,0.0,5,unknown,may,232,3,-1,0,unknown,0
management,married,unknown,42,275,0.0,0.0,0.0,5,unknown,may,408,2,-1,0,unknown,0
blue-collar,single,secondary,22,0,1.0,0.0,0.0,5,unknown,may,179,2,-1,0,unknown,0
management,married,tertiary,40,207,1.0,0.0,0.0,5,unknown,may,39,1,-1,0,unknown,0
blue-collar,married,secondary,39,483,1.0,0.0,0.0,5,unknown,may,282,1,-1,0,unknown,0
services,married,secondary,51,2248,1.0,0.0,0.0,5,unknown,may,714,2,-1,0,unknown,0
admin.,married,secondary,49,428,1.0,0.0,0.0,5,unknown,may,50,1,-1,0,unknown,0
blue-collar,married,secondary,53,0,1.0,1.0,0.0,5,unknown,may,181,1,-1,0,unknown,0
services,single,secondary,34,0,1.0,0.0,0.0,5,unknown,may,142,1,-1,0,unknown,0
technician,divorced,secondary,33,140,1.0,0.0,0.0,5,unknown,may,227,1,-1,0,unknown,0
management,single,tertiary,50,297,1.0,0.0,0.0,5,unknown,may,119,1,-1,0,unknown,0
blue-collar,married,primary,39,279,1.0,0.0,0.0,5,unknown,may,361,1,-1,0,unknown,0
entrepreneur,divorced,secondary,59,901,1.0,0.0,0.0,5,unknown,may,73,3,-1,0,unknown,0
technician,single,secondary,30,2573,1.0,0.0,0.0,5,unknown,may,67,2,-1,0,unknown,0
services,married,secondary,36,143,1.0,1.0,0.0,5,unknown,may,350,1,-1,0,unknown,0
blue-collar,married,secondary,40,475,1.0,0.0,0.0,5,unknown,may,332,2,-1,0,unknown,0
blue-collar,married,secondary,53,70,1.0,0.0,0.0,5,unknown,may,611,2,-1,0,unknown,0
management,single,tertiary,34,318,1.0,0.0,0.0,5,unknown,may,113,2,-1,0,unknown,0
technician,married,secondary,37,275,1.0,0.0,0.0,5,unknown,may,132,1,-1,0,unknown,0
management,divorced,tertiary,42,742,1.0,0.0,0.0,5,unknown,may,58,3,-1,0,unknown,0
entrepreneur,married,primary,41,236,1.0,0.0,0.0,5,unknown,may,151,1,-1,0,unknown,0
student,single,tertiary,30,25,1.0,0.0,0.0,5,unknown,may,89,2,-1,0,unknown,0
management,single,tertiary,37,600,1.0,0.0,0.0,5,unknown,may,152,1,-1,0,unknown,0
admin.,divorced,secondary,39,-349,1.0,0.0,0.0,5,unknown,may,611,2,-1,0,unknown,0
blue-collar,married,primary,41,183,1.0,1.0,0.0,5,unknown,may,110,2,-1,0,unknown,0
blue-collar,married,primary,40,0,1.0,0.0,0.0,5,unknown,may,463,1,-1,0,unknown,0
management,single,tertiary,42,0,1.0,1.0,0.0,5,unknown,may,562,2,-1,0,unknown,1
blue-collar,divorced,primary,40,0,1.0,0.0,0.0,5,unknown,may,962,1,-1,0,unknown,0
technician,married,secondary,57,1078,1.0,0.0,0.0,5,unknown,may,10,4,-1,0,unknown,0
entrepreneur,divorced,secondary,56,155,0.0,0.0,0.0,5,unknown,may,118,3,-1,0,unknown,0
admin.,married,secondary,37,190,1.0,0.0,0.0,5,unknown,may,92,2,-1,0,unknown,0
retired,married,secondary,59,319,1.0,0.0,0.0,5,unknown,may,143,3,-1,0,unknown,0
services,divorced,secondary,39,-185,1.0,0.0,0.0,5,unknown,may,189,3,-1,0,unknown,0
services,married,secondary,49,47,0.0,0.0,0.0,5,unknown,may,234,2,-1,0,unknown,0
services,single,secondary,38,570,1.0,0.0,0.0,5,unknown,may,75,2,-1,0,unknown,0
self-employed,married,tertiary,36,19,0.0,0.0,0.0,5,unknown,may,189,2,-1,0,unknown,0
blue-collar,married,primary,50,61,1.0,0.0,0.0,5,unknown,may,621,3,-1,0,unknown,0
