job,marital,education,age,balance,homeowner,loans,default,contact,length,campaign,pdays,previous,poutcome,RESP,samp#,Rnad #,num
blue-collar,married,unknown,46,1044,1,0,0,0,43,1,-1,0,2,0,0,0.837465051,0
blue-collar,married,secondary,39,983,1,0,0,0,97,1,-1,0,2,0,0,0.553482501,0
management,single,secondary,31,301,1,0,0,0,82,1,-1,0,2,0,0,0.859089937,0
blue-collar,married,secondary,36,0,1,0,0,0,337,1,-1,0,2,0,0,0.625053279,0
admin.,single,secondary,39,0,1,0,0,0,174,2,-1,0,2,0,0,0.612231954,0
management,single,tertiary,37,230,1,1,0,0,374,1,-1,0,2,0,0,0.718702473,0
blue-collar,single,secondary,48,44,1,0,0,0,153,1,-1,0,2,0,0,0.563846695,0
technician,married,secondary,31,17,1,1,0,0,120,1,-1,0,2,0,0,0.528878751,0
blue-collar,single,tertiary,34,1011,1,0,0,0,136,1,-1,0,2,0,0,0.577459162,0
management,married,tertiary,42,744,0,0,0,0,157,1,-1,0,2,0,0,0.664227488,0
management,married,tertiary,46,459,1,0,0,0,221,1,-1,0,2,0,0,0.690126039,0
admin.,divorced,secondary,30,83,1,1,0,0,310,1,-1,0,2,0,0,0.677585359,0
housemaid,married,primary,31,203,1,0,0,0,604,3,-1,0,2,0,0,0.889254337,0
management,single,tertiary,40,3877,1,0,0,0,145,1,-1,0,2,0,0,0.727020403,0
admin.,married,secondary,52,1236,1,0,0,0,247,1,-1,0,2,0,0,0.892267712,0
blue-collar,married,primary,45,-66,1,0,0,0,263,2,-1,0,2,0,0,0.522151624,0
unemployed,single,secondary,40,11,1,0,0,0,43,1,-1,0,2,0,0,0.68329493,0
services,divorced,primary,39,471,1,0,0,0,161,2,-1,0,2,0,0,0.716465927,0
admin.,divorced,secondary,56,778,1,0,0,0,149,2,-1,0,2,0,0,0.637821376,0
blue-collar,married,secondary,52,3165,0,0,0,0,26,1,-1,0,2,0,0,0.787574522,0
blue-collar,married,primary,57,5431,1,1,0,0,383,1,-1,0,2,0,0,0.695363061,0
blue-collar,married,secondary,34,0,0,0,0,0,195,1,-1,0,2,0,0,0.517887461,0
services,single,secondary,28,5090,1,0,0,0,1297,3,-1,0,2,1,0,0.939561373,0
technician,married,unknown,52,0,0,0,0,0,195,1,-1,0,2,0,0,0.878040696,0
services,married,secondary,54,193,0,0,0,0,179,1,-1,0,2,0,0,0.846720812,0
retired,married,secondary,61,195,1,1,0,0,179,1,-1,0,2,0,0,0.634609529,0
blue-collar,divorced,primary,39,190,1,1,0,0,96,2,-1,0,2,0,0,0.885919398,0
blue-collar,married,primary,35,0,1,0,0,0,154,2,-1,0,2,0,0,0.862834241,0
services,married,secondary,54,0,1,0,1,0,138,3,-1,0,2,0,0,0.704997955,0
technician,married,tertiary,48,310,0,0,0,0,135,1,-1,0,2,0,0,0.943703192,0
self-employed,married,secondary,43,918,1,0,0,0,193,1,-1,0,2,0,0,0.648466279,0
services,married,secondary,32,243,1,1,0,0,144,1,-1,0,2,0,0,0.796341654,0
management,single,tertiary,31,1852,1,0,0,0,170,3,-1,0,2,0,0,0.68776015,0
unemployed,married,secondary,35,533,1,0,0,0,802,1,-1,0,2,0,0,0.65001187,0
technician,divorced,secondary,54,21,1,0,0,0,381,2,-1,0,2,0,0,0.697533301,0
technician,married,secondary,32,90,1,1,0,0,57,2,-1,0,2,0,0,0.700564911,0
admin.,married,tertiary,32,281,1,0,0,0,226,1,-1,0,2,0,0,0.692635816,0
services,married,secondary,45,1259,1,0,0,0,507,1,-1,0,2,0,0,0.941817156,0
blue-collar,married,secondary,41,140,1,0,0,0,311,3,-1,0,2,0,0,0.566898243,0
blue-collar,married,primary,46,530,1,0,0,0,739,3,-1,0,2,0,0,0.760804963,0
blue-collar,married,primary,37,215,1,1,0,0,308,3,-1,0,2,0,0,0.590961614,0
services,married,unknown,46,80,1,0,0,0,245,2,-1,0,2,0,0,0.657144606,0
management,married,tertiary,49,92,1,0,0,0,221,2,-1,0,2,0,0,0.573687994,0
services,married,secondary,39,1205,1,0,0,0,118,2,-1,0,2,0,0,0.890616948,0
entrepreneur,married,tertiary,44,1631,1,0,0,0,346,2,-1,0,2,0,0,0.747029127,0
management,married,tertiary,57,2142,1,0,0,0,251,3,-1,0,2,0,0,0.703671955,0
admin.,married,secondary,33,21,0,0,0,0,189,3,-1,0,2,0,0,0.904262451,0
admin.,single,secondary,43,-497,1,0,0,0,234,2,-1,0,2,0,0,0.991531019,0
technician,single,unknown,44,78,1,0,0,0,13,6,-1,0,2,0,0,0.56621257,0
technician,single,tertiary,35,226,1,1,0,0,283,3,-1,0,2,0,0,0.839078086,0
admin.,married,secondary,31,0,1,1,0,0,144,2,-1,0,2,0,0,0.88323033,0
entrepreneur,married,tertiary,36,125,1,0,0,0,95,3,-1,0,2,0,0,0.561720312,0
admin.,single,unknown,40,419,1,0,0,0,112,3,-1,0,2,0,0,0.667657529,0
admin.,divorced,secondary,41,322,1,0,0,0,87,4,-1,0,2,0,0,0.986452243,0
admin.,married,secondary,38,3047,1,0,0,0,285,2,-1,0,2,0,0,0.955904805,0
admin.,single,secondary,28,251,1,0,0,0,178,2,-1,0,2,0,0,0.979760378,0
services,divorced,secondary,42,55,1,0,0,0,176,5,-1,0,2,0,0,0.618919922,0
admin.,married,secondary,42,101,1,0,0,0,32,3,-1,0,2,0,0,0.921236076,0
technician,married,secondary,55,0,0,0,0,0,160,3,-1,0,2,0,0,0.875621545,0
retired,married,secondary,55,143,1,0,0,0,42,3,-1,0,2,0,0,0.930812501,0
blue-collar,married,unknown,45,248,1,0,0,0,88,5,-1,0,2,0,0,0.520863623,0
unemployed,married,tertiary,55,383,0,0,0,0,343,3,-1,0,2,0,0,0.978756516,0
housemaid,married,secondary,38,0,1,0,0,0,59,3,-1,0,2,0,0,0.925856089,0
admin.,married,secondary,48,3754,1,0,0,0,249,3,-1,0,2,0,0,0.756764021,0
blue-collar,divorced,secondary,33,60,0,0,0,0,190,3,-1,0,2,0,0,0.820641101,0
student,single,secondary,29,110,1,0,0,0,169,3,-1,0,2,0,0,0.721200693,0
services,married,secondary,42,0,1,0,0,0,132,3,-1,0,2,0,0,0.566988932,0
services,married,secondary,46,89,1,0,0,0,479,2,-1,0,2,0,0,0.863438808,0
blue-collar,married,primary,43,-454,1,0,0,0,322,2,-1,0,2,0,0,0.793529365,0
blue-collar,married,primary,44,503,1,0,0,0,629,2,-1,0,2,0,0,0.817999267,0
retired,married,primary,40,407,1,0,0,0,502,1,-1,0,2,0,0,0.688127456,0
self-employed,married,tertiary,46,2303,1,0,0,0,241,1,-1,0,2,0,0,0.956656268,0
technician,married,secondary,29,8,0,0,0,0,113,1,-1,0,2,0,0,0.514824822,0
blue-collar,married,primary,35,0,1,0,1,0,292,1,-1,0,2,0,0,0.538206079,0
management,divorced,tertiary,31,0,1,0,0,0,953,3,-1,0,2,0,0,0.985863531,0
services,divorced,secondary,36,-290,1,1,0,0,128,1,-1,0,2,0,0,0.979251379,0
services,single,secondary,37,259,1,0,0,0,130,1,-1,0,2,0,0,0.684621073,0
retired,married,secondary,55,102,1,0,0,0,74,1,-1,0,2,0,0,0.522426924,0
management,divorced,tertiary,40,490,1,0,0,0,477,2,-1,0,2,0,0,0.622402361,0
technician,single,secondary,35,539,1,0,0,0,520,1,-1,0,2,0,0,0.881667376,0
admin.,divorced,secondary,36,0,1,0,0,0,133,2,-1,0,2,0,0,0.927370836,0
services,single,secondary,37,-196,1,0,0,0,207,1,-1,0,2,0,0,0.915814856,0
blue-collar,married,primary,33,716,1,0,0,0,83,3,-1,0,2,0,0,0.532176071,0
blue-collar,married,secondary,56,-203,1,0,0,0,139,1,-1,0,2,0,0,0.757403766,0
admin.,single,secondary,37,245,1,1,0,0,732,2,-1,0,2,1,0,0.873451086,0
management,married,tertiary,54,-248,1,1,1,0,112,1,-1,0,2,0,0,0.927241149,0
blue-collar,married,secondary,40,563,1,0,0,0,615,1,-1,0,2,0,0,0.620651856,0
services,divorced,secondary,33,392,1,1,0,0,254,1,-1,0,2,0,0,0.673975594,0
retired,married,secondary,33,165,0,0,0,0,111,1,-1,0,2,0,0,0.722117928,0
management,divorced,tertiary,55,552,0,0,0,0,241,2,-1,0,2,0,0,0.628417468,0
management,single,tertiary,37,45,1,0,1,0,204,1,-1,0,2,0,0,0.96491364,0
management,married,tertiary,32,233,1,0,0,0,193,1,-1,0,2,0,0,0.746705308,0
student,single,secondary,29,872,1,0,0,0,230,1,-1,0,2,0,0,0.560971713,0
services,married,tertiary,31,309,1,1,0,0,294,1,-1,0,2,0,0,0.960898916,0
blue-collar,married,secondary,59,202,1,0,0,0,173,1,-1,0,2,0,0,0.6462936,0
retired,married,secondary,44,7624,0,0,0,0,126,5,-1,0,2,0,0,0.518356722,0
blue-collar,married,unknown,51,37,1,0,0,0,256,6,-1,0,2,0,0,0.679952105,0
management,divorced,tertiary,47,34,1,0,0,0,104,1,-1,0,2,0,0,0.879493544,0
self-employed,married,primary,57,1013,1,0,0,0,448,1,-1,0,2,0,0,0.976158536,0
services,single,tertiary,40,8823,1,0,0,0,378,1,-1,0,2,0,0,0.681694666,0
blue-collar,married,unknown,38,5,1,0,0,0,221,2,-1,0,2,0,0,0.95715093,0
retired,married,primary,55,-90,1,1,0,0,634,2,-1,0,2,0,0,0.63065667,0
blue-collar,married,secondary,33,0,0,0,0,0,107,1,-1,0,2,0,0,0.964474394,0
blue-collar,married,secondary,54,-932,1,0,0,0,799,1,-1,0,2,0,0,0.632774253,0
services,married,secondary,31,564,1,0,0,0,223,3,-1,0,2,0,0,0.880509094,0
blue-collar,married,primary,46,143,1,0,0,0,279,1,-1,0,2,0,0,0.991450201,0
admin.,married,secondary,43,71,0,0,0,0,180,5,-1,0,2,0,0,0.751552903,0
management,divorced,secondary,41,276,1,0,0,0,60,1,-1,0,2,0,0,0.656617421,0
retired,married,secondary,58,268,1,0,0,0,516,1,-1,0,2,0,0,0.916060613,0
unemployed,single,tertiary,33,1716,1,0,0,0,396,2,-1,0,2,0,0,0.796727575,0
blue-collar,married,primary,37,310,1,0,0,0,474,1,-1,0,2,0,0,0.769235688,0
blue-collar,married,primary,43,61,1,0,0,0,261,1,-1,0,2,0,0,0.940373173,0
services,married,primary,44,-79,1,0,0,0,179,2,-1,0,2,0,0,0.660272007,0
services,single,secondary,30,342,1,0,0,0,206,2,-1,0,2,0,0,0.800725737,0
blue-collar,married,primary,34,267,1,0,0,0,362,1,-1,0,2,0,0,0.657962456,0
services,divorced,secondary,52,220,1,0,0,0,143,3,-1,0,2,0,0,0.984842862,0
entrepreneur,divorced,primary,52,278,1,0,0,0,688,2,-1,0,2,0,0,0.815346281,0
blue-collar,single,primary,43,548,1,0,0,0,98,1,-1,0,2,0,0,0.835610818,0
blue-collar,married,secondary,39,356,1,1,0,0,607,1,-1,0,2,0,0,0.914082034,0
management,married,tertiary,58,211,0,0,0,0,103,2,-1,0,2,0,0,0.947019534,0
blue-collar,married,primary,31,19,1,0,0,0,241,2,-1,0,2,0,0,0.790387516,0
management,married,tertiary,37,308,1,0,0,0,96,3,-1,0,2,0,0,0.766607254,0
blue-collar,divorced,primary,52,196,1,0,0,0,119,3,-1,0,2,0,0,0.916584133,0
blue-collar,married,secondary,34,42,1,0,0,0,154,2,-1,0,2,0,0,0.688942835,0
management,single,tertiary,23,2605,1,0,0,0,278,6,-1,0,2,0,0,0.652716031,0
technician,single,tertiary,30,60,1,1,0,0,306,5,-1,0,2,0,0,0.616801346,0
management,married,primary,51,98,1,0,0,0,114,2,-1,0,2,0,0,0.727888523,0
student,single,secondary,27,671,1,0,0,0,332,2,-1,0,2,0,0,0.608400871,0
blue-collar,married,primary,46,323,1,0,0,0,108,6,-1,0,2,0,0,0.608646991,0
blue-collar,married,secondary,46,442,1,0,0,0,105,2,-1,0,2,0,0,0.624779621,0
entrepreneur,married,primary,44,58,1,0,0,0,113,3,-1,0,2,0,0,0.561604719,0
unknown,single,primary,29,50,1,0,0,0,50,2,-1,0,2,0,0,0.612440596,0
blue-collar,single,secondary,39,29,1,0,0,0,214,2,-1,0,2,0,0,0.590410256,0
blue-collar,single,secondary,27,0,1,0,0,0,191,4,-1,0,2,0,0,0.811395208,0
technician,married,secondary,51,221,1,0,0,0,139,3,-1,0,2,0,0,0.908579061,0
management,single,tertiary,33,76,1,0,0,0,256,3,-1,0,2,0,0,0.852917254,0
blue-collar,single,secondary,46,76,1,0,0,0,245,2,-1,0,2,0,0,0.937146175,0
entrepreneur,married,primary,43,526,1,0,0,0,79,4,-1,0,2,0,0,0.854025116,0
blue-collar,married,primary,47,117,1,0,0,0,113,2,-1,0,2,0,0,0.816106468,0
blue-collar,married,primary,30,145,1,0,0,0,299,2,-1,0,2,0,0,0.540948622,0
blue-collar,married,primary,38,1807,0,0,0,0,348,3,-1,0,2,0,0,0.877326985,0
blue-collar,married,primary,43,487,1,0,0,0,548,2,-1,0,2,0,0,0.794968787,0
blue-collar,divorced,primary,52,-57,1,0,0,0,114,3,-1,0,2,0,0,0.91444318,0
services,single,secondary,32,81,1,0,0,0,126,5,-1,0,2,0,0,0.779700876,0
admin.,single,secondary,40,-227,1,0,0,0,161,3,-1,0,2,0,0,0.613287948,0
services,divorced,secondary,30,98,1,0,0,0,155,1,-1,0,2,0,0,0.895508615,0
blue-collar,married,secondary,46,78,1,1,0,0,145,1,-1,0,2,0,0,0.882970331,0
blue-collar,divorced,primary,50,149,1,0,0,0,74,1,-1,0,2,0,0,0.966772593,0
technician,single,unknown,39,0,1,0,0,0,130,1,-1,0,2,0,0,0.935753237,0
blue-collar,married,primary,41,258,1,0,0,0,252,1,-1,0,2,0,0,0.934818037,0
services,married,primary,29,321,1,0,0,0,196,2,-1,0,2,0,0,0.96666284,0
blue-collar,single,primary,38,20,1,0,0,0,81,2,-1,0,2,0,0,0.770758869,0
blue-collar,married,secondary,46,1045,1,1,0,0,149,1,-1,0,2,0,0,0.503339963,0
management,married,tertiary,28,3,1,0,0,0,122,5,-1,0,2,0,0,0.566995762,0
entrepreneur,married,secondary,32,135,1,0,0,0,143,2,-1,0,2,0,0,0.98015376,0
technician,married,secondary,33,367,1,1,0,0,22,2,-1,0,2,0,0,0.703797173,0
admin.,divorced,secondary,48,268,1,0,0,0,71,4,-1,0,2,0,0,0.901496553,0
admin.,divorced,secondary,31,53,1,0,0,0,128,4,-1,0,2,0,0,0.995981176,0
management,divorced,tertiary,35,788,1,0,0,0,297,3,-1,0,2,0,0,0.973880955,0
blue-collar,married,tertiary,31,2827,1,0,0,0,238,3,-1,0,2,0,0,0.877532492,0
management,single,tertiary,32,111,1,0,0,0,162,2,-1,0,2,0,0,0.757251443,0
blue-collar,married,secondary,39,125,1,0,0,0,142,1,-1,0,2,0,0,0.71495322,0
technician,married,secondary,42,420,1,0,0,0,94,1,-1,0,2,0,0,0.861272482,0
services,divorced,secondary,27,96,1,0,0,0,31,1,-1,0,2,0,0,0.991212394,0
blue-collar,married,primary,38,54,1,0,0,0,180,1,-1,0,2,0,0,0.729557846,0
blue-collar,married,primary,33,-81,1,0,0,0,267,1,-1,0,2,0,0,0.991377975,0
management,divorced,tertiary,35,3837,1,0,0,0,1084,1,-1,0,2,1,0,0.904206625,0
management,married,primary,51,57,1,1,1,0,61,1,-1,0,2,0,0,0.906770095,0
blue-collar,married,secondary,43,-7,0,0,1,0,70,1,-1,0,2,0,0,0.946644877,0
blue-collar,married,primary,46,45,1,0,0,0,235,1,-1,0,2,0,0,0.663311306,0
admin.,single,secondary,30,387,1,0,0,0,75,1,-1,0,2,0,0,0.727131449,0
blue-collar,single,secondary,32,5,1,1,0,0,134,1,-1,0,2,0,0,0.651331967,0
blue-collar,single,unknown,48,71,1,0,0,0,101,2,-1,0,2,0,0,0.575442609,0
admin.,divorced,secondary,33,1128,1,0,0,0,139,2,-1,0,2,0,0,0.760007612,0
technician,divorced,secondary,48,177,1,0,0,0,471,1,-1,0,2,0,0,0.711207692,0
blue-collar,single,primary,34,0,1,0,0,0,323,1,-1,0,2,0,0,0.699366067,0
blue-collar,married,secondary,29,5903,1,0,0,0,194,1,-1,0,2,0,0,0.814928332,0
services,married,secondary,45,1381,1,0,0,0,269,1,-1,0,2,0,0,0.97543411,0
blue-collar,married,primary,33,-744,1,0,1,0,206,1,-1,0,2,0,0,0.797713964,0
blue-collar,married,secondary,34,80,1,1,0,0,494,1,-1,0,2,0,0,0.848827038,0
admin.,married,secondary,36,114,1,1,0,0,147,1,-1,0,2,0,0,0.76715251,0
blue-collar,single,secondary,40,1,1,0,0,0,190,1,-1,0,2,0,0,0.819179766,0
entrepreneur,married,unknown,36,298,1,0,0,0,215,1,-1,0,2,0,0,0.973411069,0
technician,married,secondary,52,291,0,0,0,0,143,1,-1,0,2,0,0,0.673298678,0
blue-collar,married,primary,45,85,1,0,0,0,162,1,-1,0,2,0,0,0.817921194,0
blue-collar,married,primary,39,481,1,0,0,0,204,1,-1,0,2,0,0,0.781921237,0
blue-collar,married,secondary,38,4586,1,0,0,0,784,1,-1,0,2,0,0,0.99341234,0
management,single,tertiary,39,220,1,0,0,0,87,2,-1,0,2,0,0,0.78991679,0
student,single,secondary,26,85,1,0,0,0,278,2,-1,0,2,0,0,0.823701125,0
admin.,single,secondary,33,303,0,0,0,0,149,1,-1,0,2,0,0,0.59010665,0
technician,single,secondary,36,1832,1,0,0,0,154,1,-1,0,2,0,0,0.512216407,0
services,married,secondary,46,2019,1,0,0,0,357,1,-1,0,2,0,0,0.527698796,0
blue-collar,married,primary,30,3,1,0,0,0,147,1,-1,0,2,0,0,0.673993169,0
management,divorced,tertiary,38,904,1,0,0,0,475,1,-1,0,2,0,0,0.852368642,0
admin.,single,secondary,44,-84,1,0,0,0,32,3,-1,0,2,0,0,0.993763896,0
entrepreneur,married,primary,55,-24,1,0,0,0,176,1,-1,0,2,0,0,0.877739583,0
management,married,tertiary,57,2261,1,0,0,0,1007,1,-1,0,2,0,0,0.738202136,0
services,married,secondary,33,804,1,1,0,0,266,1,-1,0,2,0,0,0.830417293,0
services,married,secondary,37,237,1,0,0,0,175,1,-1,0,2,0,0,0.706527096,0
admin.,married,secondary,32,514,1,0,0,0,459,1,-1,0,2,0,0,0.727721829,0
