time,tweets,role
8/3/2018 10:01," Congratulations to Gregg Jarrett on his book, “THE RUSSIA HOAX, THE ILLICIT SCHEME TO CLEAR HILLARY CLINTON AND FRAME DONALD TRUMP,” going to #1 on @nytimes and Amazon. It is indeed a HOAX and WITCH HUNT, illegally started by people who have already been disgraced. Great book! [Twitter for iPhone] link",president
8/3/2018 8:06," Great photo from Ocean City, Maryland. Thank you. MAKE",president
8/3/2018 5:10, July is just the ninth month since 1970 that unemployment has fallen below 4%. Our economy has added 3.7 million jobs since I won the Election. 4.1 GDP. More than 4 million people have received a pay raise,president
8/2/2018 6:04," Wow, @foxandfriends is blowing away the competition in the morning ratings. Morning Joe is a dead show with very few people watching and sadly, Fake News CNN is also doing poorly. Too much hate and inaccurately reported stories - too predictable! [Twitter for iPhone] link",president
8/2/2018 6:04," Wow, @foxandfriends is blowing away the competition in the morning ratings. Morning Joe is a dead show with very few people watching and sadly, Fake News CNN is also doing poorly. Too much hate and inaccurately reported stories - too predictable! [Twitter for iPhone] link",president
8/2/2018 6:04," Wow, @foxandfriends is blowing away the competition in the morning ratings. Morning Joe is a dead show with very few people watching and sadly, Fake News CNN is also doing poorly. Too much hate and inaccur",president
8/2/2018 3:24," They asked my daughter Ivanka whether or not the media is the enemy of the people. She correctly said no. It is the FAKE NEWS, which is a large percentage of the media, that is the enemy of the people! [Twitter for iPhone] link",president
8/1/2018 4:04," Join me tomorrow night at 7pmE in Wilkes-Barre Township, Pennsylvania for a MAKE",president
7/31/2018 8:34," The Fake News Media is going CRAZY! They are totally unhinged and in many ways, after witnessing first hand the damage they do to so many innocent and decent people, I enjoy watching. In 7 years, when I am no longer in office, their ratings will dry up and they will be gone! [Twitter for iPhone] link",president
7/31/2018 6:00," One of the reasons we need Great Border Security is that Mexico’s murder rate in 2017 increased by 27% to 31,174 people killed, a record! The Democrats want Open Borders. I want Maximum Border Security an",president
7/31/2018 5:23," ....them richer. Their network is highly overrated, I have beaten them at every turn. They want to protect their companies outside the U.S. from being taxed, I’m for America First & the American Worker - a puppet for no one. Two nice guys with bad ideas. Make America Great Again! [Twitter for iPhone] link",president
7/29/2018 7:30," Had a very good and interesting meeting at the White House with A.G. Sulzberger, Publisher of the New York Times. Spent much time talking about the vast amounts of Fake News being put out by the media & how that Fake News has morphed into phrase, “Enemy of the People.” Sad! [Twitter for iPhone] link",president
7/29/2018 7:30," Had a very good and interesting meeting at the White House with A.G. Sulzberger, Publisher of the New York Times. Spent much time talking about the vast amounts of Fake News being put out by the media & how that Fake News has morphed into phrase, “Enemy of the People.” Sad! [Twitter for iPhone] link",president
7/29/2018 6:59," RT @realDonaldTrump: Democrats, who want Open Borders and care little about Crime, are incompetent, but they have the Fake News Media almos… [Twitter for iPhone] link",president
7/29/2018 6:52, Do you think the Fake News Media will ever report on this tweet from Michael? https://t.co/kXLCKZO5Fr [Twitter for iPhone] link,president
7/29/2018 2:09," ...dying newspaper industry. No matter how much they try to distract and cover it up, our country is making great progress under my leadership and I will never stop fighting for the American people! As an example, the failing New York Times... [Twitter for iPhone] link",president
7/27/2018 8:53," Join me in Tampa, Florida next Tuesday, July 31st at 7:00pmE for a #MAGA Rally! Tickets: https://t.co/Q2PMyTACl8 https://t.co/URjvN8Owoe [Twitter for iPhone] link",president
7/27/2018 6:38," ....,the only Collusion with Russia was with the Democrats, so now they are looking at my Tweets (along with 53 million other people) - the rigged Witch Hunt continues! How stupid and unfair to our Country....And so the Fake News doesn’t waste my time with dumb questions, NO,.... [Twitter for iPhone] link",president
7/27/2018 5:45," Democrats, who want Open Borders and care little about Crime, are incompetent, but they have the Fake News Media almost totally on their side! [Twitter for iPhone] link",president
7/27/2018 5:45," Democrats, who want Open Borders and care little about Crime, are incompetent, but they have the Fake News Media almost totally on their side! [Twitter for iPhone] link",president
7/24/2018 8:54, MAKE,president
7/24/2018 7:39," So sad and unfair that the FCC wouldn’t approve the Sinclair Broadcast merger with Tribune. This would have been a great and much needed Conservative voice for and of the People. Liberal Fake News NBC and Comcast gets approved, much bigger, but not Sinclair. Disgraceful! [Twitter for iPhone] link",president
7/23/2018 8:06," A Rocket has not been launched by North Korea in 9 months. Likewise, no Nuclear Tests. Japan is happy, all of Asia is happy. But the Fake News is saying, without ever asking me (always anonymous sources), that I am angry because it is not going fast enough. Wrong, very happy! [Twitter for iPhone] link",president
7/23/2018 7:25," When you hear the Fake News talking negatively about my meeting with President Putin, and all that I gave up, remember, I gave up NOTHING, we merely talked about future benefits for both countries. Also, we got along very well, which is a good thing, except for the Corrupt Media! [Twitter for iPhone] link",president
7/23/2018 5:13, Tom Fitton on @foxandfriends at 6:15 A.M. NOW! Judicial Watch. [Twitter for iPhone] link,president
7/22/2018 8:15, I had a GREAT meeting with Putin and the Fake News used every bit of their energy to try and disparage it. So bad for our country! [Twitter for iPhone] link,president
7/22/2018 7:56," .@PeteHegseth on @FoxNews “Source #1 was the (Fake) Dossier. Yes, the Dirty Dossier, paid for by Democrats as a hit piece against Trump, and looking for information that could discredit Candidate #1 Trum",president
7/20/2018 4:50," I got severely criticized by the Fake News Media for being too nice to President Putin. In the Old Days they would call it Diplomacy. If I was loud & vicious, I would have been criticized for being too tough. Remember when they said I was too tough with Chairman Kim? Hypocrites! [Twitter for iPhone] link",president
7/19/2018 8:24," The Summit with Russia was a great success, except with the real enemy of the people, the Fake News Media. I look forward to our second meeting so that we can start implementing some of the many things discussed, including stopping terrorism, security for Israel, nuclear........ [Twitter for iPhone] link",president
7/19/2018 6:13, “Trump recognized Russian Meddling MANY TIMES.” Thank you to @foxandfriends and @FoxNews for actually showing the clips. The Fake News wants no part of that narrative! Too bad they don’t want to focus on all of the ECONOMIC and JOBS records being set. [Twitter for iPhone] link,president
7/19/2018 6:13, “Trump recognized Russian Meddling MANY TIMES.” Thank you to @foxandfriends and @FoxNews for actually showing the clips. The Fake News wants no part of that narrative! Too bad they don’t want to focus on,president
7/19/2018 5:59," The Fake News Media wants so badly to see a major confrontation with Russia, even a confrontation that could lead to war. They are pushing so recklessly hard and hate the fact that I’ll probably have a good relationship with Putin. We are doing MUCH better than any other country! [Twitter for iPhone] link",president
7/19/2018 5:37," The Fake News Media is going Crazy! They make up stories without any backup, sources or proof. Many of the stories written about me, and the good people surrounding me, are total fiction. Problem is, when you complain you just give them more publicity. But I’ll complain anyway! [Twitter for iPhone] link",president
7/19/2018 1:14, Will the Dems and Fake News ever learn? This is classic! https://t.co/kSX3ROI4QG [Twitter for iPhone] link,president
7/18/2018 6:03, “A lot of Democrats wished they voted for the Tax Cuts because the economy is booming - we could have 4% growth now and the Fed said yesterday that unemployment could drop again.” @foxandfriends @kilmead,president
7/17/2018 9:22," While I had a great meeting with NATO, raising vast amounts of money, I had an even better meeting with Vladimir Putin of Russia. Sadly, it is not being reported that way - the Fake News is going Crazy! [Twitter for iPhone] link",president
7/17/2018 7:21," The meeting between President Putin and myself was a great success, except in the Fake News Media! [Twitter for iPhone] link",president
7/16/2018 5:53, Will be interviewed on @seanhannity tonight at 9pmE and @TuckerCarlson tomorrow night at 8pmE. Enjoy! [Twitter for iPhone] link,president
7/15/2018 11:11," There hasn’t been a missile or rocket fired in 9 months in North Korea, there have been no nuclear tests and we got back our hostages. Who knows how it will all turn out in the end, but why isn’t the Fake News talking about these wonderful facts? Because it is FAKE NEWS! [Twitter for iPhone] link",president
7/14/2018 6:24," So funny! I just checked out Fake News CNN, for the first time in a long time (they are dying in the ratings), to see if they covered my takedown yesterday of Jim Acosta (actually a nice guy). They didn’t! But they did say I already lost in my meeting with Putin. Fake News...... [Twitter for iPhone] link",president
7/14/2018 6:24," So funny! I just checked out Fake News CNN, for the first time in a long time (they are dying in the ratings), to see if they covered my takedown yesterday of Jim Acosta (actually a nice guy). They didn’t! But they did say I already lost in my meeting with Putin. Fake News...... [Twitter fo",president
7/14/2018 1:17," These Russian individuals did their work during the Obama years. Why didn’t Obama do something about it? Because he thought Crooked Hillary Clinton would win, that’s why. Had nothing to do with the Trump Administration, but Fake News doesn’t want to report the truth, as usual! [Twitter for iPhone] link",president
7/12/2018 12:55," As I head out to a very important NATO meeting, I see that FBI Lover/Agent Lisa Page is dodging a Subpoena & is refusing to show up and testify. What can she possibly say about her statements and lies. S",president
7/9/2018 12:04, The failing NY Times Fake News story today about breast feeding must be called out. The U.S. strongly supports breast feeding but we don’t believe women should be denied access to formula. Many women need this option because of malnutrition and poverty. [Twitter for iPhone] link,president
7/7/2018 8:21," Twitter is getting rid of fake accounts at a record pace. Will that include the Failing New York Times and propaganda machine for Amazon, the Washington Post, who constantly quote anonymous sources that, in my opinion, don’t exist - They will both be out of business in 7 years! [Twitter for iPhone] link",president
7/5/2018 7:11," It was my great honor to join proud, hardworking American Patriots in Montana tonight. I love you - thank you! #MAGA https://t.co/475ct7hW3D [Twitter for iPhone] link",president
7/3/2018 6:16," Many good conversations with North Korea-it is going well! In the meantime, no Rocket Launches or Nuclear Testing in 8 months. All of Asia is thrilled. Only the Opposition Party, which includes the Fake News, is complaining. If not for me, we would now be at War with North Korea! [Twitter for iPhone] link",president
7/3/2018 6:13," After having written many best selling books, and somewhat priding myself on my ability to write, it should be noted that the Fake News constantly likes to pore over my tweets looking for a mistake. I capitalize certain words only for emphasis, not b/c they should be capitalized! [Twitter for iPhone] link",president
7/3/2018 4:19," After having written many best selling books, and somewhat priding myself on my ability to write, it should be noted that the Fake News constantly likes to pour over my tweets looking for a mistake. I capitalize certain words only for emphasis, not b/c they should be capitalized! [Twitter for iPhone] link",president
7/1/2018 7:11," The Liberal Left, also known as the Democrats, want to get rid of ICE, who do a fantastic job, and want Open Borders. Crime would be rampant and uncontrollable! Make America Great Again [Twitter for iPhone] link",president
7/1/2018 7:00, I will be interviewed by @MariaBartiromo at 10:00 A.M. on @FoxNews [Twitter for iPhone] link,president
6/30/2018 2:31, I will be interviewed by @MariaBartiromo on Sunday on @FoxNews at 10:00 A. M. Enjoy! [Twitter for iPhone] link,president
6/29/2018 6:21," RT @FoxBusiness: .@IvankaTrump: ""I think one of the tremendous opportunities that were seeing because the economy is so strong is that peop… [Twitter for iPhone] link",president
6/28/2018 6:38," Just watched @SharkGregNorman on @foxandfriends. Said “President is doing a great job. All over the world, people want to come back to the U.S.” Thank you Greg, and you’re looking and doing great! [Twitt",president
6/28/2018 6:32," Amy Kremer, Women for Trump, was so great on @foxandfriends. Brave and very smart, thank you Amy! @AmyKremer [Twitter for iPhone] link",president
6/27/2018 10:03," Thank you North Dakota. Together, we are MAKING",president
6/27/2018 6:18," Congratulations to Maxine Waters, whose crazy rants have made her, together with Nancy Pelosi, the unhinged FACE of the Democrat Party. Together, they will Make America Weak Again! But have no fear, America is now stronger than ever before, and I’m not going anywhere! [Twitter for iPhone] link",president
6/25/2018 12:11," Congresswoman Maxine Waters, an extraordinarily low IQ person, has become, together with Nancy Pelosi, the Face of the Democrat Party. She has just called for harm to supporters, of which there are many, of the Make America Great Again movement. Be careful what you wish for Max! [Twitter for iPhone] link",president
6/25/2018 7:36," Such a difference in the media coverage of the same immigration policies between the Obama Administration and ours. Actually, we have done a far better job in that our facilities are cleaner and better run than were the facilities under Obama. Fake News is working overtime! [Twitter for iPhone] link",president
6/25/2018 6:44, Just landed in South Carolina - will be at the McMaster rally shortly! #MAGA [Twitter for iPhone] link,president
6/25/2018 4:28," Surprised that Harley-Davidson, of all companies, would be the first to wave the White Flag. I fought hard for them and ultimately they will not pay tariffs selling into the E.U., which has hurt us badly on trade, down $151 Billion. Taxes just a Harley excuse - be patient! #MAGA [Twitter for iPhone] link",president
6/24/2018 10:08," ....Our Immigration policy, laughed at all over the world, is very unfair to all of those people who have gone through the system legally and are waiting on line for years! Immigration must be based on merit - we need people who will help to Make America Great Again! [Twitter for iPhone] link",president
6/23/2018 9:00," ...everyone how much he likes me, but he will only vote with Nancy Pelosi. Keith is strong on borders and tough on crime — and loves cutting taxes! #MAGA [Twitter for iPhone] link",president
6/23/2018 7:52," Drudge Report “OBAMA KEPT THEM IN CAGES, WRAPPED THEM IN FOIL” We do a much better job while at the same time maintaining a MUCH stronger Border! Mainstream Fake Media hates this story. [Twitter for iPhone] link",president
6/23/2018 7:42, “Disability applications plunge as economy strengthens” Failing New York Times [Twitter for iPhone] link,president
6/23/2018 6:33," .@FoxNews Poll numbers plummet on the Democrat inspired and paid for Russian Witch Hunt. With all of the bias, lying and hate by the investigators, people want the investigators investigated. Much more w",president
6/23/2018 3:25, Thank you @NVGOP! #MAGA https://t.co/OGTR2j6PGG [Twitter for iPhone] link,president
6/22/2018 6:46, Congresswoman Martha Roby of Alabama has been a consistent and reliable vote for our Make America Great Again Agenda. She is in a Republican Primary run-off against a recent Nancy Pelosi voting Democrat. I fully endorse Martha for Alabama 2nd Congressional District! [Twitter for iPhone] link,president
6/21/2018 8:52," Henry McMaster has done a great job as Governor of South Carolina. The state is BOOMING, with jobs and new industry setting records. He is tough on Crime and Strong on Borders, Healthcare, the Military and our great Vets. Henry has my full and complete Endrosement! #MAGA [Twitter for iPhone] link",president
6/21/2018 7:47," Henry McMaster has done a great job as Governor of South Carolina. The State is BOOMING, with jobs and new industry setting records. He is tough on Crime and strong on Borders, Health Care, the Mititary and our great Vets. Henry has my full and complete Endorsement! #MAGA [Twitter for iPhone] link",president
6/21/2018 4:51," “I REALLY DON’T CARE, DO U?” written on the back of Melania’s jacket, refers to the Fake News Media. Melania has learned how dishonest they are, and she truly no longer cares! [Twitter for iPhone] link",president
6/20/2018 10:00, More records! #MAGA https://t.co/2CP5eq40Fy [Twitter for iPhone] link,president
6/20/2018 9:00," “FBI texts have revealed anti-Trump Bias.” @FoxNews Big News, but the Fake News doesn’t want to cover. Total corruption - the Witch Hunt has turned out to be a scam! At some point soon the Mainstream Media will have to cover correctly, too big a story! [Twitter for iPhone] link",president
6/20/2018 9:00," “FBI texts have revealed anti-Trump Bias.” @FoxNews Big News, but the Fake News doesn’t want to cover. Total corruption - the Witch Hunt has turned out to be a scam! At some point soon the Mainstream Med",president
6/20/2018 7:25," The Fake News is not mentioning the safety and security of our Country when talking about illegal immigration. Our immigration laws are the weakest and worst anywhere in the world, and the Dems will do anything not to change them & to obstruct-want open borders which means crime! [Twitter for iPhone] link",president
6/19/2018 10:22," Join me tomorrow in Duluth, Minnesota for a #MAGA Rally! Tickets: https://t.co/mhhJB8WQlF https://t.co/gP59o1RDqW [Twitter for iPhone] link",president
6/18/2018 9:57," If President Obama (who got nowhere with North Korea and would have had to go to war with many millions of people being killed) had gotten along with North Korea and made the initial steps toward a deal that I have, the Fake News would have named him a national hero! [Twitter for iPhone] link",president
6/17/2018 8:26, Washington Post employees want to go on strike because Bezos isn’t paying them enough. I think a really long strike would be a great idea. Employees would get more money and we would get rid of Fake News for an extended period of time! Is @WaPo a registered lobbyist? [Twitter for iPhone] link,president
6/17/2018 7:40," Funny how the Fake News, in a coordinated effort with each other, likes to say I gave sooo much to North Korea because I “met.” That’s because that’s all they have to disparage! We got so much for peace in the world, & more is being added in finals. Even got our hostages/remains! [Twitter for iPhone] link",president
6/17/2018 7:25," Why was the FBI giving so much information to the Fake News Media. They are not supposed to be doing that, and knowing the enemy of the people Fake News, they put their own spin on it - truth doesn’t matter to them! [Twitter for iPhone] link",president
6/17/2018 6:58, Please clear up the Fake News! https://t.co/3VbIKbmKwP [Twitter for iPhone] link,president
6/15/2018 12:49," I’ve had to beat 17 very talented people including the Bush Dynasty, then I had to beat the Clinton Dynasty, and now I have to beat a phony Witch Hunt and all of the dishonest people covered in the IG Report...and never forget the Fake News Media. It never ends! [Twitter for iPhone] link",president
6/15/2018 6:56," RT @foxandfriends: IG REPORT BOMBSHELL: Anti-Trump FBI agent Peter Strzok texted his lover Lisa Page ""we'll stop"" Trump from becoming presi… [Twitter for iPhone] link",president
6/15/2018 6:56, RT @foxandfriends: DOJ IG report finds that an FBI lawyer told a bureau employee “Viva le resistance” after President Trump was elected htt… [Twitter for iPhone] link,president
6/15/2018 6:55, RT @foxandfriends: “This is one of the most damning rebukes of the FBI that I think we’ve ever seen.” -@jasoninthehouse https://t.co/9DoTim… [Twitter for iPhone] link,president
6/15/2018 6:55, RT @foxandfriends: .@jasoninthehouse: The DOJ IG report is 562 pages of nothing but bias and animus https://t.co/7IeXfmvo1M [Twitter for iPhone] link,president
6/15/2018 6:55, RT @foxandfriends: .@jasoninthehouse: Anything Mueller is doing with his investigation is tainted by the anti-Trump FBI agents https://t.co… [Twitter for iPhone] link,president
6/15/2018 6:55, RT @foxandfriends: .@jasoninthehouse: All of this started because Hillary Clinton set up her private server https://t.co/rLzjDRxxxm [Twitter for iPhone] link,president
6/15/2018 6:50," Wow, the highest rated (by far) morning show, @foxandfriends, is on the Front Lawn of the White House. Maybe I’ll have to take an unannounced trip down to see them? [Twitter for iPhone] link",president
6/15/2018 5:23," The Fake News Media said that I did not get along with other Leaders at the #G7Summit in Canada. They are once again, WRONG! https://t.co/I6eEKEZV6z [Twitter for iPhone] link",president
6/15/2018 5:03," I have a great relationship with Angela Merkel of Germany, but the Fake News Media only shows the bad photos (implying anger) of negotiating an agreement - where I am asking for things that no other American President would ask for! https://t.co/Ib97nN5HZt [Twitter for iPhone] link",president
6/14/2018 10:08," So, the Democrats make up a phony crime, Collusion with the Russians, pay a fortune to make the crime sound real, illegally leak (Comey) classified information so that a Special Councel will be appointed, and then Collude to make this pile of garbage take on life in Fake News! [Twitter for iPhone] link",president
6/13/2018 8:30," So funny to watch the Fake News, especially NBC and CNN. They are fighting hard to downplay the deal with North Korea. 500 days ago they would have “begged” for this deal-looked like war would break out. Our Country’s biggest enemy is the Fake News so easily promulgated by fools! [Twitter for iPhone] link",president
6/13/2018 8:30," So funny to watch the Fake News, especially NBC and CNN. They are fighting hard to downplay the deal with North Korea. 500 days ago they would have “begged” for this deal-looked like war would break out. Our Country’s biggest enemy is the Fake News so easily promulgated by fools! [Twitter f",president
6/12/2018 6:37," It's time for another #MAGA rally. Join me in Duluth, Minnesota on Wednesday, June 20th at 6:30pm! Tickets?https://t.co/mhhJB9erdd https://t.co/T6eXenoSxT [Twitter for iPhone] link",president
6/6/2018 9:04," Many more Republican voters showed up yesterday than the Fake News thought possible. The political pundits just don’t get what is going on out there - or they do get it but refuse to report the facts! Remember, Dems are High Tax, High Crime, easy to beat! [Twitter for iPhone] link",president
6/6/2018 8:54," ...Four reporters spotted Melania in the White House last week walking merrily along to a meeting. They never reported the sighting because it would hurt the sick narrative that she was living in a different part of the world, was really ill, or whatever. Fake News is really bad! [Twitter for iPhone] link",president
6/6/2018 8:48," The Fake News Media has been so unfair, and vicious, to my wife and our great First Lady, Melania. During her recovery from surgery they reported everything from near death, to facelift, to left the W.H. (and me) for N.Y. or Virginia, to abuse. All Fake, she is doing really well! [Twitter for iPhone] link",president
6/6/2018 8:37," Gold Star father, Ceejay Metcalf, whose great son Michael was just honored at the White House, was fantastic this morning on @foxandfriends. He is a special man! [Twitter for iPhone] link",president
6/6/2018 8:16," Great night for Republicans! Congratulations to John Cox on a really big number in California. He can win. Even Fake News CNN said the Trump impact was really big, much bigger than they ever thought possible. So much for the big Blue Wave, it may be a big Red Wave. Working hard! [Twitter for iPhone] link",president
6/6/2018 8:16," Great night for Republicans! Congratulations to John Cox on a really big number in California. He can win. Even Fake News CNN said the Trump impact was really big, much bigger than they ever thought possible. So much for the big Blue Wave, it may be a big Red Wave. Working hard! [Twitter for",president
6/5/2018 8:49," Senator @RogerWicker of Mississippi has done everything necessary to Make America Great Again! Get out and vote for Roger, he has my total support! [Twitter for iPhone] link",president
6/5/2018 7:37," Wow, Strzok-Page, the incompetent & corrupt FBI lovers, have texts referring to a counter-intelligence operation into the Trump Campaign dating way back to December, 2015. SPYGATE is in full force! Is the Mainstream Media interested yet? Big stuff! [Twitter for iPhone] link",president
6/4/2018 3:41, The Fake News Media is desperate to distract from the economy and record setting economic numbers and so they keep talking about the phony Russian Witch Hunt. [Twitter for iPhone] link,president
6/2/2018 12:43, There was No Collusion with Russia (except by the Democrats). When will this very expensive Witch Hunt Hoax ever end? So bad for our Country. Is the Special Counsel/Justice Department leaking my lawyers letters to the Fake News Media? Should be looking at Dems corruption instead? [Twitter for iPhone] link,president
6/2/2018 12:31, There was No Collusion with Russia (except by the Democrats). When will this very expensive Witch Hunt Hoax ever end? So bad for our Country. Is the Special Councel/Justice Department leaking my lawyers letters to the Fake News Media? Should be looking at Dems corruption instead? [Twitter for iPhone] link,president
6/2/2018 11:46," Real @FoxNews is doing great, Fake News CNN is dead! https://t.co/1p37tPiB3v [Twitter for iPhone] link",president
6/2/2018 11:46," Real @FoxNews is doing great, Fake News CNN is dead! https://t.co/1p37tPiB3v [Twitter for iPhone] link",president
6/2/2018 11:46," Real @FoxNews is doing great, Fake News CNN is dead! https://t.co/1p37tPiB3v [Twitter for iPhone] link",president
6/2/2018 7:06," “John Brennan, no single figure in American history has done more to discredit the intelligence community than this liar. Not only is he a liar, he’s a liar about being a liar.” Dan Bongino on @foxandfrie",president
6/2/2018 6:40, “We ran out of words to describe how good the jobs numbers are.” Neil Irwin of the @nytimes. [Twitter for iPhone] link,president
6/2/2018 4:09, RT @CLewandowski_: Looking forward to being on @foxandfriends tomorrow around 7:45,president
6/2/2018 4:04," RT @foxandfriends: 223,000 jobs added in May, even the NYT runs out of words to describe how good the numbers are! https://t.co/K1GB8G0zsf [Twitter for iPhone] link",president
6/1/2018 1:07, RT @FoxNews: President @realDonaldTrump participates in the U.S. Coast Guard [@USCG] Change-of-Command Ceremony. https://t.co/ekWubVkf1h [Twitter for iPhone] link,president
5/30/2018 9:35," The Failing and Corrupt @nytimes estimated the crowd last night at “1000 people,” when in fact it was many times that number - and the arena was rockin’. This is the way they demean and disparage. They are very dishonest people who don’t “get” me, and never did! [Twitter for iPhone] link",president
5/30/2018 6:46," There is no one better to represent the people of N.Y. and Staten Island (a place I know very well) than @RepDanDonovan, who is strong on Borders & Crime, loves our Military & our Vets, voted for Tax Cuts and is helping me to Make America Great Again. Dan has my full endorsement! [Twitter for iPhone] link",president
5/28/2018 9:32," “We now find out that the Obama Administration put the opposing campaigns presidential candidate, or his campaign, under investigation. That raises legitimate questions. I just find this really odd...thi",president
5/28/2018 8:55, “The President deserves some answers.” @FoxNews in discussing “SPYGATE.” [Twitter for iPhone] link,president
5/26/2018 10:21," The Failing @nytimes quotes “a senior White House official,” who doesn’t exist, as saying “even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.” WRONG AGAIN! Use real people, not phony sources. [Twitter for iPhone] link",president
5/26/2018 10:03," Unlike what the Failing and Corrupt New York Times would like people to believe, there is ZERO disagreement within the Trump Administration as to how to deal with North Korea...and if there was, it wouldn’t matter. The @nytimes has called me wrong right from the beginning! [Twitter for iPhone] link",president
5/24/2018 11:18, RT @FoxNews: WATCH: @POTUS on his decision to cancel the planned North Korea summit. https://t.co/UlzBnkOdzs https://t.co/LTKbqNDfNU [Twitter for iPhone] link,president
5/23/2018 7:58, Will be interviewed on @foxandfriends tomorrow morning at 6:00 A.M. Enjoy! [Twitter for iPhone] link,president
5/23/2018 6:22," Everybody is with Tomi Lahren, a truly outstanding and respected young woman! @foxandfriends [Twitter for iPhone] link",president
5/23/2018 5:45," @foxandfriends “New Bombshell in the Obama Spying Scandal. Did other Agencies SPY on Trump Campaign?” Even Clapper, worlds dumbest former Intelligence Head, who has the problem of lying a lot, used the w",president
5/20/2018 8:04, Things are really getting ridiculous. The Failing and Crooked (but not as Crooked as Hillary Clinton) @nytimes has done a long & boring story indicating that the World’s most expensive Witch Hunt has found nothing on Russia & me so now they are looking at the rest of the World! [Twitter for iPhone] link,president
5/18/2018 8:50," Reports are there was indeed at least one FBI representative implanted, for political purposes, into my campaign for president. It took place very early on, and long before the phony Russia Hoax became a “hot” Fake News story. If true - all time biggest political scandal! [Twitter for iPhone] link",president
5/18/2018 5:51," Fake News Media had me calling Immigrants, or Illegal Immigrants, “Animals.” Wrong! They were begrudgingly forced to withdraw their stories. I referred to MS 13 Gang Members as “Animals,” a big difference - and so true. Fake News got it purposely wrong, as usual! [Twitter for iPhone] link",president
5/17/2018 8:52," Despite the disgusting, illegal and unwarranted Witch Hunt, we have had the most successful first 17 month Administration in U.S. history - by far! Sorry to the Fake News Media and “Haters,” but that’s the way it is! [Twitter for iPhone] link",president
5/16/2018 8:09, The Washington Post and CNN have typically written false stories about our trade negotiations with China. Nothing has happened with ZTE except as it pertains to the larger trade deal. Our country has been losing hundreds of billions of dollars a year with China... [Twitter for iPhone] link,president
5/16/2018 7:25, Congratulations to Deb Fischer. The people of Nebraska have seen what a great job she is doing - and it showed up at the ballot box! #MAGA [Twitter for iPhone] link,president
