HomeValue,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
130000,2,36,5330,2480,3470,2320,37.8,-121.99
184000,3,31,4600,1330,2050,1180,37.8,-121.99
125000,2,29,335,107,202,91,37.8,-121.99
170000,1,22,3680,1270,2020,1250,37.8,-121.99
193000,3,37,3630,1090,1840,980,37.8,-121.99
258000,2,29,4660,1410,2300,1250,37.8,-121.99
273000,3,28,5810,1600,2560,1500,37.8,-121.99
238000,3,39,854,242,389,228,37.8,-121.99
350000,3,52,2160,701,895,613,37.8,-121.99
336000,3,34,5870,1910,2690,1790,37.8,-121.99
313000,5,52,1510,225,674,244,37.8,-121.99
269000,3,52,2030,482,709,456,37.8,-121.99
259000,3,52,1760,460,686,422,37.8,-121.99
276000,4,52,3480,751,1440,718,37.8,-121.99
225000,4,28,3340,855,1520,802,37.8,-121.99
263000,5,52,1420,289,550,253,37.8,-121.99
219000,3,32,3810,1100,1810,1020,37.8,-121.99
255000,3,26,3960,1200,1750,1220,37.8,-121.99
224000,3,52,2380,559,939,519,37.8,-121.99
243000,3,35,1610,428,675,422,37.8,-121.99
232000,3,52,1280,287,534,291,37.8,-121.99
219000,2,28,5020,1750,2560,1660,37.8,-121.99
234000,3,52,4190,1110,1790,1040,37.8,-121.99
328000,6,50,2520,399,970,373,37.8,-121.99
348000,5,47,3180,454,1100,485,37.8,-121.99
366000,6,41,2580,406,794,376,37.8,-121.99
335000,5,37,334,54,98,47,37.9,-121.99
374000,6,52,2800,411,1060,403,37.9,-121.99
390000,5,52,3530,574,1180,555,37.8,-121.99
391000,7,52,2610,365,901,367,37.9,-121.99
337000,5,28,5290,1050,2030,956,37.9,-121.99
295000,8,50,2940,473,1030,479,37.8,-121.99
292000,6,44,3420,597,1360,597,37.8,-121.99
412000,8,40,4990,674,1620,654,37.8,-121.99
312000,6,30,2210,346,844,343,37.8,-121.99
326000,7,34,3040,490,1140,496,37.8,-121.99
393000,12,18,1620,210,533,194,37.8,-121.99
319000,7,35,2870,460,1070,443,37.8,-121.99
333000,7,34,5070,788,1630,766,37.8,-121.99
335000,8,28,1330,184,463,190,37.8,-121.99
351000,8,26,1590,223,542,211,37.8,-121.99
369000,7,29,1790,271,661,269,37.8,-121.99
366000,8,32,1840,264,635,263,37.8,-121.99
367000,7,37,1230,181,420,176,37.8,-121.99
363000,6,39,3770,534,1270,500,37.8,-121.99
483000,6,30,292,38,126,52,37.8,-121.99
331000,7,52,2380,333,813,350,37.8,-121.99
324000,7,45,2960,436,1070,426,37.8,-121.99
217000,3,50,2830,605,1260,552,37.8,-121.99
233000,3,38,2250,535,951,487,37.8,-121.99
296000,5,52,1390,212,510,224,37.8,-121.99
274000,7,52,1970,335,765,308,37.8,-121.99
228000,3,52,2180,465,1130,460,37.8,-121.99
200000,3,52,2290,464,1070,441,37.8,-121.99
240000,5,52,2720,541,1190,515,37.8,-121.99
270000,4,52,2020,339,756,340,37.8,-121.99
302000,5,52,2940,536,1030,521,37.8,-121.99
270000,3,52,2030,486,787,459,37.8,-121.99
315000,5,52,1430,229,612,213,37.8,-121.99
390000,8,52,2930,402,1020,380,37.8,-121.99
410000,9,52,2320,292,861,258,37.8,-121.99
352000,7,52,2490,313,953,327,37.8,-121.99
287000,6,52,1490,238,634,256,37.8,-121.99
349000,8,52,2810,365,878,352,37.8,-121.99
244000,3,52,2090,550,918,483,37.8,-121.99
212000,2,52,888,168,360,175,37.8,-121.99
218000,3,52,2090,510,1200,488,37.8,-121.99
270000,4,52,2510,502,1050,518,37.8,-121.99
219000,3,46,3230,835,1370,747,37.8,-121.99
225000,3,42,4120,1070,1720,1020,37.8,-121.99
250000,2,43,2360,792,1360,722,37.8,-121.99
171000,2,41,1470,469,1060,413,37.8,-121.99
194000,1,29,2470,864,1340,773,37.8,-121.99
125000,2,27,1630,492,1170,429,37.8,-121.99
97500,2,45,1790,526,1480,460,37.8,-121.99
125000,3,50,629,188,742,196,37.8,-121.99
139000,2,52,1340,391,1090,363,37.8,-121.99
117000,2,36,1680,606,1650,543,37.8,-121.99
152000,2,43,2340,647,1710,644,37.8,-121.99
127000,2,52,996,228,731,228,37.8,-121.99
129000,2,52,1590,373,1120,347,37.8,-121.99
141000,2,52,1590,398,1010,335,37.8,-121.99
183000,3,47,2050,588,1210,554,37.8,-121.99
147000,2,52,1190,289,772,257,37.8,-121.99
123000,3,52,1800,420,1320,401,37.8,-121.99
169000,3,49,2840,749,1490,677,37.8,-121.99
127000,2,52,783,184,488,186,37.8,-121.99
128000,2,51,1590,414,949,392,37.8,-121.99
124000,2,50,1750,480,1150,415,37.8,-121.99
112000,2,52,1250,299,844,280,37.8,-121.99
113000,2,43,5960,1340,4370,1230,37.8,-121.99
108000,3,52,1780,395,1660,412,37.8,-121.99
138000,2,30,999,264,1010,263,37.8,-121.99
106000,2,39,1470,431,1460,389,37.8,-121.99
95500,2,47,1370,395,1240,303,37.8,-121.99
116000,3,52,674,180,647,168,37.8,-121.99
112000,2,43,1630,376,1280,357,37.8,-121.99
75000,2,51,175,43,228,55,37.8,-121.99
113000,2,39,461,129,381,123,37.8,-121.99
125000,4,52,902,237,846,227,37.8,-121.99
115000,2,20,2370,779,1660,676,37.8,-121.99
95000,2,52,391,128,520,138,37.8,-121.99
96400,3,52,1140,301,866,259,37.8,-121.99
72000,3,52,769,206,612,183,37.8,-121.99
71300,3,52,472,146,415,126,37.8,-121.99
80800,3,52,862,215,994,213,37.8,-121.99
129000,1,50,1920,530,1530,477,37.8,-121.99
113000,2,43,1420,472,1510,438,37.8,-121.99
119000,1,52,986,258,1010,255,37.8,-121.99
118000,2,44,2340,825,2810,751,37.8,-121.99
123000,2,48,1700,396,1480,343,37.8,-121.99
106000,2,49,1180,217,859,219,37.8,-121.99
133000,2,37,2340,574,1610,523,37.8,-121.99
123000,2,30,610,145,425,140,37.8,-121.99
113000,1,40,930,199,564,184,37.8,-121.99
110000,4,44,1490,314,961,272,37.8,-121.99
165000,4,52,3420,690,2270,685,37.8,-121.99
125000,3,52,762,190,600,195,37.8,-121.99
125000,3,46,2370,575,1650,527,37.8,-121.99
137000,3,49,1830,450,1200,424,37.8,-121.99
142000,3,38,3050,711,2170,659,37.8,-121.99
150000,3,29,1640,376,939,340,37.8,-121.99
139000,3,47,1540,307,859,292,37.8,-121.99
139000,3,34,2360,557,1520,516,37.8,-121.99
144000,3,35,1750,409,1140,386,37.8,-121.99
157000,3,39,2000,500,1110,464,37.8,-121.99
151000,3,39,2020,447,1220,446,37.8,-121.99
273000,5,43,3050,499,1120,455,37.8,-121.99
217000,5,52,1550,293,706,268,37.8,-121.99
187000,3,52,3520,711,1880,706,37.8,-121.99
240000,5,41,2070,354,804,340,37.8,-121.99
230000,4,48,1320,263,506,252,37.8,-121.99
257000,5,48,1690,259,610,238,37.8,-121.99
247000,4,46,1940,341,768,332,37.8,-121.99
180000,3,50,968,195,462,184,37.8,-121.99
170000,4,40,1060,256,667,235,37.8,-121.99
203000,4,46,2040,405,1060,399,37.8,-121.99
263000,4,52,1810,271,637,277,37.8,-121.99
232000,5,45,2720,451,1110,454,37.8,-121.99
141000,3,28,3140,761,1740,669,37.8,-121.99
126000,2,35,1800,459,1010,390,37.8,-121.99
122000,3,49,882,195,737,210,37.8,-121.99
135000,3,44,1620,452,1350,491,37.8,-121.99
139000,2,45,2120,533,1530,474,37.8,-121.99
115000,3,45,2020,528,1410,480,37.8,-121.99
137000,3,46,2240,508,1390,569,37.8,-121.99
137000,2,52,1480,300,1070,269,37.8,-121.99
143000,3,52,1060,224,792,245,37.8,-121.99
138000,3,49,898,244,779,245,37.8,-121.99
112000,2,44,2970,710,2270,610,37.8,-121.99
127000,2,43,1700,460,1230,407,37.8,-121.99
111000,3,47,881,248,753,241,37.8,-121.99
115000,3,40,494,114,547,135,37.8,-121.99
102000,2,50,1780,473,1810,440,37.8,-121.99
132000,2,44,1680,514,1700,495,37.8,-121.99
119000,2,51,1640,463,1540,393,37.8,-121.99
80600,2,52,1420,314,1090,300,37.8,-121.99
80600,4,52,591,173,353,137,37.8,-121.99
88800,3,52,745,153,473,149,37.8,-121.99
102000,2,49,2270,498,1620,483,37.8,-121.99
98700,2,46,1230,375,1180,354,37.8,-121.99
100000,2,43,1020,328,836,277,37.8,-121.99
92300,2,42,932,254,900,263,37.8,-121.99
94800,2,39,2690,597,1890,537,37.8,-121.99
102000,2,41,1550,415,1020,341,37.8,-121.99
158000,4,52,2300,443,1230,423,37.8,-121.99
122000,3,39,1750,399,1070,376,37.8,-121.99
129000,3,50,1870,403,1130,378,37.8,-121.99
121000,3,43,2430,502,1540,484,37.8,-121.99
103000,2,44,1730,414,1240,393,37.8,-121.99
160000,3,52,1030,180,469,168,37.8,-121.99
144000,3,52,2170,428,1090,425,37.8,-121.99
151000,4,52,2330,445,1140,417,37.8,-121.99
164000,4,52,2490,415,1110,375,37.8,-121.99
157000,3,52,2200,397,984,369,37.8,-121.99
225000,4,33,142,31,575,47,37.8,-121.99
174000,5,49,1180,205,496,209,37.8,-121.99
167000,4,52,1070,193,555,190,37.8,-121.99
164000,5,45,1770,332,869,327,37.8,-121.99
253000,5,39,617,95,236,106,37.8,-121.99
241000,7,41,1410,233,626,214,37.8,-121.99
208000,4,46,2110,387,922,329,37.8,-121.99
198000,3,47,1230,243,582,256,37.8,-121.99
173000,3,50,954,217,546,201,37.8,-121.99
337000,5,37,1640,262,620,266,37.8,-121.99
318000,6,34,1360,195,442,195,37.8,-121.99
286000,7,23,2320,336,955,328,37.8,-121.99
293000,7,24,2460,317,916,324,37.8,-121.99
371000,6,22,12800,2050,4990,1970,37.8,-121.99
157000,4,42,1520,260,651,267,37.8,-121.99
135000,3,30,3330,746,1700,703,37.8,-121.99
137000,3,43,1990,440,1090,407,37.8,-121.99
161000,3,50,1640,322,713,284,37.8,-121.99
141000,4,49,893,177,468,181,37.8,-121.99
144000,4,52,653,128,296,121,37.8,-121.99
162000,4,47,1260,217,570,218,37.8,-121.99
156000,5,48,977,194,446,180,37.8,-121.99
176000,4,45,2320,397,968,384,37.8,-121.99
146000,3,39,1580,349,857,316,37.8,-121.99
142000,3,39,1610,342,912,322,37.8,-121.99
90700,2,31,2420,533,1360,452,37.8,-121.99
90600,2,41,1590,367,1070,355,37.8,-121.99
108000,2,47,2120,413,965,382,37.8,-121.99
107000,2,37,1580,358,933,320,37.8,-121.99
98200,2,38,1760,397,987,354,37.8,-121.99
89500,2,50,1190,261,907,246,37.8,-121.99
93800,4,52,754,175,447,165,37.8,-121.99
96700,2,49,2310,452,1300,451,37.8,-121.99
97500,2,27,909,236,396,157,37.8,-121.99
97300,3,42,1180,257,877,268,37.8,-121.99
91200,2,43,2020,408,1110,367,37.8,-121.99
91400,2,49,1370,282,790,269,37.8,-121.99
96200,2,52,2740,547,1480,554,37.8,-121.99
120000,3,51,2110,471,1170,438,37.8,-121.99
100000,2,52,1750,362,1030,366,37.8,-121.99
94700,2,52,2020,391,1030,350,37.8,-121.99
85700,2,47,1120,259,826,279,37.8,-121.99
89300,2,41,2040,510,1410,454,37.8,-121.99
101000,3,45,1850,393,1130,349,37.8,-121.99
72500,1,41,921,207,522,159,37.8,-121.99
74100,2,45,995,238,630,237,37.8,-121.99
70000,2,36,606,132,531,133,37.8,-121.99
84600,1,37,2680,736,1930,667,37.8,-121.99
81800,1,38,1490,370,1140,351,37.8,-121.99
81400,1,19,2210,565,1480,520,37.8,-121.99
81800,1,28,856,189,435,162,37.8,-121.99
85800,2,26,1290,297,984,303,37.8,-121.99
87100,1,36,847,212,567,159,37.7,-121.99
83500,2,42,541,154,380,123,37.7,-121.99
79700,2,44,1070,253,825,244,37.7,-121.99
83400,3,43,707,147,417,155,37.7,-121.99
84700,1,45,1530,291,801,287,37.7,-121.99
80000,3,42,909,215,646,198,37.7,-121.99
76400,3,43,1390,293,855,285,37.7,-121.99
79700,2,44,548,119,435,136,37.7,-121.99
82400,2,42,4070,874,2740,780,37.7,-121.99
97700,2,41,1610,445,1480,414,37.7,-121.99
97200,2,47,463,134,327,137,37.7,-121.99
102000,2,43,818,193,494,179,37.7,-121.99
86500,2,43,1470,371,1230,341,37.7,-121.99
90500,2,35,504,126,323,109,37.7,-121.99
108000,3,46,1030,226,749,225,37.7,-121.99
84200,2,46,769,183,693,178,37.7,-121.99
88900,2,46,2100,391,1340,354,37.7,-121.99
80700,4,45,330,76,282,80,37.8,-121.99
87100,1,46,941,218,621,195,37.8,-121.99
85100,2,38,992,279,732,259,37.8,-121.99
82000,2,45,990,261,901,260,37.8,-121.99
82800,2,36,1130,263,482,150,37.8,-121.99
84600,2,43,1040,233,652,213,37.8,-121.99
82100,2,36,1050,214,651,166,37.8,-121.99
89300,3,33,1280,307,999,286,37.8,-121.99
98300,2,43,1590,320,907,306,37.8,-121.99
92300,3,41,1260,271,828,230,37.8,-121.99
88800,2,44,1220,248,763,254,37.8,-121.99
90000,1,48,1750,390,935,349,37.8,-121.99
95500,3,45,2300,514,1440,484,37.8,-121.99
91700,2,38,2460,624,1520,482,37.8,-121.99
100000,3,47,998,211,597,185,37.8,-121.99
94800,2,40,1690,343,949,342,37.8,-121.99
164000,5,46,1830,307,881,302,37.8,-121.99
156000,2,36,2780,574,1440,519,37.8,-121.99
197000,6,39,1820,286,763,270,37.8,-121.99
279000,5,27,2230,365,1300,355,37.8,-121.99
253000,6,34,1510,231,545,211,37.8,-121.99
275000,5,26,3270,491,1220,533,37.8,-121.99
250000,7,33,1810,261,808,219,37.8,-121.99
330000,8,28,794,111,329,109,37.8,-121.99
196000,4,36,690,105,299,109,37.8,-121.99
256000,7,33,1330,200,579,202,37.8,-121.99
311000,5,30,414,54,137,50,37.8,-121.99
330000,5,36,768,93,229,93,37.8,-121.99
249000,5,41,4400,666,1480,648,37.7,-121.99
143000,3,46,954,161,429,154,37.8,-121.99
126000,4,40,1450,256,849,255,37.8,-121.99
136000,3,44,1940,399,946,331,37.8,-121.99
131000,3,41,856,178,571,191,37.7,-121.99
108000,3,24,1790,454,1140,386,37.8,-121.99
111000,3,44,617,131,378,135,37.8,-121.99
122000,4,43,1380,275,853,272,37.7,-121.99
118000,3,49,1330,277,764,282,37.7,-121.99
95200,2,40,1230,294,928,261,37.8,-121.99
94300,4,35,667,140,406,133,37.8,-121.99
92500,2,34,1220,281,824,280,37.7,-121.99
91800,3,37,1380,287,835,259,37.8,-121.99
109000,4,43,1530,300,826,295,37.7,-121.99
130000,3,46,1030,181,567,211,37.7,-121.99
143000,4,52,771,147,355,144,37.7,-121.99
98200,3,47,824,223,533,166,37.7,-121.99
103000,2,44,1100,239,609,215,37.7,-121.99
277000,3,49,1280,238,576,236,37.9,-121.99
271000,5,52,1600,263,594,286,37.9,-121.99
246000,3,52,2250,422,870,377,37.9,-121.99
224000,4,38,2260,522,1030,509,37.9,-121.99
229000,3,52,1570,349,693,326,37.9,-121.99
212000,3,46,1520,402,815,375,37.9,-121.99
256000,5,15,5080,1210,2420,1150,37.9,-121.99
206000,3,36,1080,293,518,276,37.9,-121.99
221000,4,52,1250,283,620,275,37.9,-121.99
207000,5,42,1340,291,551,266,37.9,-121.99
350000,2,37,3060,930,2560,924,37.9,-121.99
218000,3,52,3170,698,1500,696,37.9,-121.99
217000,4,50,1210,261,523,227,37.9,-121.99
271000,5,52,979,175,374,153,37.9,-121.99
261000,5,52,2270,380,1000,371,37.9,-121.99
261000,4,52,1840,332,769,334,37.9,-121.99
232000,5,52,2180,421,940,423,37.9,-121.99
375000,6,42,1650,274,645,256,37.9,-121.99
357000,8,52,1930,279,705,288,37.9,-121.99
374000,8,52,2080,273,684,275,37.9,-121.99
359000,6,52,1800,240,572,236,37.9,-121.99
418000,7,52,2040,270,671,253,37.9,-121.99
431000,9,52,3050,373,975,365,37.9,-121.99
363000,7,52,2320,328,779,312,37.9,-121.99
397000,10,52,2000,250,658,244,37.9,-121.99
347000,5,52,2260,328,819,335,37.9,-121.99
327000,6,52,1230,169,412,168,37.9,-121.99
290000,5,52,2320,408,835,369,37.9,-121.99
292000,5,52,2070,329,722,306,37.9,-121.99
271000,4,52,2620,473,1090,487,37.9,-121.99
371000,7,52,2640,366,973,355,37.9,-121.99
336000,5,52,1980,293,723,272,37.9,-121.99
371000,8,37,2220,335,903,362,37.9,-121.99
344000,6,41,1130,195,356,181,37.9,-121.99
342000,6,52,3080,494,1010,462,37.9,-121.99
371000,7,52,3710,531,1210,504,37.9,-121.99
350000,8,37,3000,457,987,450,37.9,-121.99
369000,7,42,2860,460,1030,448,37.9,-121.99
392000,6,52,2550,417,894,404,37.9,-121.99
415000,6,52,2260,410,823,377,37.9,-121.99
285000,4,52,3360,648,1230,621,37.9,-121.99
288000,4,52,1690,391,669,367,37.9,-121.99
273000,3,44,2250,592,989,550,37.9,-121.99
260000,4,52,2500,491,1060,464,37.9,-121.99
255000,4,52,1190,200,506,207,37.9,-121.99
236000,4,52,1170,215,489,218,37.9,-121.99
218000,4,52,2160,424,824,388,37.9,-121.99
229000,3,48,2370,490,1030,475,37.9,-121.99
192000,3,46,1900,442,920,425,37.9,-121.99
179000,4,52,1650,395,841,380,37.9,-121.99
188000,1,45,453,146,749,137,37.9,-121.99
139000,2,52,409,97,208,98,37.9,-121.99
150000,2,10,503,118,228,100,37.9,-121.99
141000,3,50,499,127,287,128,37.9,-121.99
120000,3,52,477,119,218,106,37.9,-121.99
145000,3,46,1650,376,854,355,37.9,-121.99
145000,2,52,3120,749,1700,684,37.9,-121.99
246000,3,52,957,188,403,172,37.9,-121.99
200000,4,52,589,132,288,131,37.9,-121.99
174000,2,49,2030,548,963,521,37.9,-121.99
186000,3,50,1830,536,1130,516,37.9,-121.99
183000,4,52,895,198,386,204,37.9,-121.99
228000,3,52,1910,416,811,406,37.9,-121.99
221000,3,46,3020,696,1290,675,37.9,-121.99
212000,3,46,1780,446,805,431,37.9,-121.99
271000,2,52,2800,930,1370,876,37.9,-121.99
269000,2,30,1470,439,862,425,37.9,-121.99
278000,3,37,2620,682,1150,616,37.9,-121.99
333000,4,52,1150,255,483,249,37.9,-121.99
339000,3,52,2360,604,1560,573,37.9,-121.99
288000,2,52,2600,837,1800,769,37.9,-121.99
385000,5,41,685,141,266,123,37.9,-121.99
371000,3,42,1760,465,2180,422,37.9,-121.99
350000,1,52,1200,460,2020,477,37.9,-121.99
500000,1,52,609,236,1350,250,37.9,-121.99
175000,1,52,1090,371,3340,350,37.9,-121.99
242000,1,52,2770,998,1720,949,37.9,-121.99
217000,2,35,3220,1110,1680,1000,37.9,-121.99
211000,3,49,1350,368,707,350,37.9,-121.99
210000,3,52,3080,698,1420,694,37.9,-121.99
196000,4,52,938,195,393,189,37.9,-121.99
192000,4,52,1810,353,828,339,37.9,-121.99
182000,2,52,1230,300,571,292,37.9,-121.99
175000,3,44,2540,755,1380,713,37.9,-121.99
166000,3,46,1270,324,792,321,37.9,-121.99
157000,2,52,1670,404,815,372,37.9,-121.99
164000,3,52,1660,367,788,346,37.9,-121.99
150000,3,52,2230,460,1150,430,37.9,-121.99
151000,2,50,2490,607,1350,563,37.9,-121.99
170000,2,52,2030,450,958,445,37.9,-121.99
147000,2,49,2930,668,1360,608,37.9,-121.99
153000,2,52,2250,472,1010,449,37.9,-121.99
183000,3,49,2050,435,924,414,37.9,-121.99
179000,3,52,2000,417,780,358,37.9,-121.99
158000,3,52,3010,691,1580,636,37.9,-121.99
153000,2,41,2210,550,1210,568,37.9,-121.99
250000,3,52,1090,305,486,267,37.9,-121.99
206000,3,52,834,186,494,175,37.9,-121.99
219000,3,52,1770,372,849,365,37.9,-121.99
198000,2,52,2310,583,1130,548,37.9,-121.99
254000,2,35,5160,1740,3280,1740,37.9,-121.99
257000,3,52,3500,832,1490,794,37.9,-121.99
290000,3,52,3770,744,1460,679,37.9,-121.99
242000,3,52,2890,604,1250,538,37.9,-121.99
490000,3,48,2150,517,1660,459,37.9,-121.99
446000,7,52,1390,191,514,202,37.9,-121.99
456000,5,52,1710,318,719,295,37.9,-121.99
337000,2,52,1590,444,878,449,37.9,-121.99
500000,8,52,1670,225,517,214,37.9,-121.99
500000,9,52,3730,474,1370,496,37.9,-121.99
377000,5,52,4050,663,1320,590,37.9,-121.99
310000,3,52,3620,768,1510,755,37.9,-121.99
182000,3,52,4080,920,1800,815,37.9,-121.99
173000,2,47,2080,400,719,326,37.9,-121.99
151000,2,50,1280,300,675,255,37.9,-121.99
154000,2,52,1970,426,875,363,37.9,-121.99
106000,2,52,335,83,152,77,37.9,-121.99
142000,1,47,1380,307,843,319,37.9,-121.99
119000,3,52,610,145,281,132,37.9,-121.99
148000,2,44,1030,198,506,204,37.9,-121.99
133000,2,48,2060,484,1050,466,37.9,-121.99
133000,2,35,1870,419,1020,414,37.8,-121.99
127000,3,52,3110,813,1620,765,37.8,-121.99
144000,4,14,7360,2410,3100,2050,37.8,-121.99
500000,8,52,2990,379,947,361,37.8,-121.99
500000,12,39,2490,310,808,315,37.8,-121.99
500000,14,42,2990,335,1020,335,37.8,-121.99
500000,12,52,3240,366,1000,352,37.8,-121.99
466000,8,52,3050,381,1010,369,37.8,-121.99
500000,12,52,3490,396,1190,383,37.8,-121.99
458000,6,52,1760,246,585,227,37.8,-121.99
472000,8,52,2450,312,916,316,37.8,-121.99
500000,9,52,1610,203,556,179,37.8,-121.99
399000,6,52,3670,517,1470,520,37.8,-121.99
341000,6,52,2470,403,1100,398,37.8,-121.99
290000,5,52,3040,516,1240,518,37.8,-121.99
335000,5,52,2270,323,805,321,37.8,-121.99
333000,5,52,1320,177,378,162,37.8,-121.99
241000,3,52,1150,235,481,223,37.8,-121.99
190000,3,52,772,179,409,160,37.8,-121.99
206000,4,52,1710,386,885,373,37.8,-121.99
216000,3,52,2650,566,1470,567,37.8,-121.99
210000,3,52,1040,220,482,215,37.8,-121.99
209000,3,52,1530,320,825,264,37.8,-121.99
198000,4,52,859,157,429,158,37.8,-121.99
201000,3,52,970,217,528,208,37.8,-121.99
191000,3,52,1050,239,496,216,37.8,-121.99
208000,3,52,1410,280,718,265,37.8,-121.99
215000,4,52,1220,264,630,265,37.8,-121.99
213000,4,45,1170,263,723,286,37.8,-121.99
293000,5,13,2020,535,959,486,37.8,-121.99
275000,3,30,4150,869,3670,855,37.8,-121.99
200000,3,42,2040,368,2040,355,37.8,-121.99
173000,3,29,5150,1390,3740,1270,37.8,-121.99
102000,2,42,1240,309,821,300,37.8,-121.99
221000,3,52,1470,363,870,347,37.8,-121.99
243000,4,27,4000,1070,1900,966,37.8,-121.99
265000,5,18,2870,763,1240,663,37.8,-121.99
219000,3,50,1490,306,730,327,37.8,-121.99
282000,3,52,1670,350,793,299,37.8,-121.99
372000,6,52,2250,388,1030,434,37.8,-121.99
226000,4,52,1730,377,872,363,37.8,-121.99
221000,3,52,1710,481,849,457,37.8,-121.99
235000,3,52,2390,559,1120,518,37.8,-121.99
254000,3,52,2160,458,872,445,37.8,-121.99
